Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,14359,2637.788146806881,10.167838986001811,99,375267,4974,0,146,0,3069,259,275473,0,18,14,86,BENIGN
17,11993,20.01167347619445,0.4169098640873843,2998,4029662,6009,1984,5,48,48,48,0,0,0,0,0,BENIGN
6,5025,560.3980099502487,2.388059701492537,456,1612994,4218,0,12,72,316,234,14524,0,0,0,12,BENIGN
17,11968,32.0855614973262,0.6684491978609626,1709,242720,2000,973,8,48,48,48,0,0,0,0,0,BENIGN
17,12000,32.0,0.6666666666666666,1714,227214,2000,1010,8,48,48,48,0,0,0,0,0,BENIGN
17,10984,30.58994901675164,0.6372906045156591,1830,170336,2006,989,7,48,48,48,0,0,0,0,0,BENIGN
17,11978,28.05142761729838,0.5844047420270496,1996,72,2006,1983,7,48,48,48,0,0,0,0,0,BENIGN
17,10079,2558.7855938089097,19.049508879849192,52,43174,1531,0,192,31,1460,134,57880,0,0,0,0,BENIGN
17,12965,25.9159274971076,0.5399151561897416,2160,159657,2976,1988,7,48,48,48,0,0,0,0,0,BENIGN
17,11964,28.084252758274825,0.5850885991307255,1994,167,2001,1969,7,48,48,48,0,0,0,0,0,BENIGN
17,12965,25.9159274971076,0.5399151561897416,2160,157363,2970,1995,7,48,48,48,0,0,0,0,0,BENIGN
17,9966,28.898254063816974,0.6020469596628537,1993,130,2001,1975,6,48,48,48,0,0,0,0,0,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,3341,610.595630050883,2.394492666866208,477,1593710,3340,0,8,72,316,255,12755,0,0,0,8,BENIGN
17,2690,1086.2453531598512,10.408921933085502,99,254695,2621,0,28,51,205,104,1623,0,0,0,0,BENIGN
17,14982,9.61153384060873,0.2002402883460152,7491,12550050,9996,4986,3,48,48,48,0,0,0,0,0,BENIGN
6,8390,3511.4421930870085,3.575685339690107,289,1342104,6001,0,30,0,2864,982,897071,1,1,0,13,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1907,10870.47718930257,25.17042475091767,40,10810,480,0,48,0,2920,431,807611,4,6,0,18,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,29,53517.24137931035,275.86206896551727,4,101,27,0,8,72,316,194,17013,0,0,0,8,BENIGN
17,1,244000.0,4000.0,0,0,1,0,4,55,67,61,48,0,0,0,0,BENIGN
6,300,68966.66666666667,143.33333333333334,7,747,124,0,43,0,2896,481,832490,4,4,0,16,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,2259,2177.9548472775564,28.3311199645861,35,20310,1010,0,64,0,408,76,12703,4,2,0,42,BENIGN
6,8448,183.7121212121212,1.183712121212121,938,3466967,4253,0,10,0,316,155,19927,0,0,2,8,BENIGN
6,304,2552.6315789473683,19.73684210526316,60,18306,303,0,6,0,316,129,21943,0,0,2,4,BENIGN
6,14057,380.0241872376752,1.422778686775272,739,8544519,12783,0,20,72,632,267,27400,0,0,0,20,BENIGN
6,130,159153.84615384616,315.38461538461536,3,375,115,0,41,0,2896,504,862890,4,4,0,16,BENIGN
6,2666,7287.321830457615,24.006001500375096,42,85587,2326,0,64,0,1592,303,134929,0,4,4,50,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
17,7250,1088.2758620689656,7.448275862068965,136,982751,7219,0,54,48,1418,146,66553,0,0,0,0,BENIGN
6,1085,101.38248847926268,3.686635944700461,361,297369,989,1,4,0,110,27,3012,1,1,0,1,BENIGN
6,1047,412.6074498567335,4.775549188156638,261,159990,858,0,5,0,216,86,13996,1,1,0,2,BENIGN
6,6411,318.2030884417408,1.2478552487911403,915,5867759,6409,0,8,72,316,255,12755,0,0,0,8,BENIGN
6,8395,3509.3508040500296,3.4544371649791543,299,1398756,6007,0,29,0,2864,1015,944573,1,1,0,13,BENIGN
17,9550,316.020942408377,3.141361256544503,329,2207285,7910,0,30,48,205,100,1686,0,0,0,0,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,997,0.0,4.012036108324975,332,331170,997,0,4,0,0,0,0,0,0,4,0,BENIGN
6,141,146737.58865248226,290.78014184397165,3,382,116,0,41,0,2896,504,862890,4,4,0,16,BENIGN
6,348,59454.02298850575,123.5632183908046,8,649,119,0,43,0,2920,481,777313,4,4,0,16,BENIGN
6,44,474409.0909090909,1227.2727272727273,0,9,17,0,54,0,3069,386,585750,0,10,6,26,BENIGN
17,43,383116.27906976745,2790.6976744186045,0,0,8,0,120,48,1442,137,62042,0,0,0,0,BENIGN
6,265,78075.47169811321,154.71698113207546,6,481,110,0,41,0,2920,504,803501,4,4,0,16,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,222,93198.1981981982,270.27027027027026,3,533,159,0,60,0,1448,344,350021,4,4,0,16,BENIGN
6,159,130125.78616352202,251.57232704402517,4,471,127,0,40,0,2896,517,985844,4,4,0,16,BENIGN
6,3364,461.35552913198575,2.378121284185493,480,1614453,3362,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,376,55026.59574468085,111.70212765957449,9,1461,203,0,42,0,2896,492,891769,4,4,0,16,BENIGN
6,2,388000.0,2000.0,0,1,2,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,7149,3621.485522450692,16.505805007693382,61,82298,2603,0,118,0,2920,219,365855,8,8,0,64,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
17,1,96000.0,2000.0,1,1,1,1,2,48,48,48,0,0,0,0,0,BENIGN
