Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,14999,4.200280018667911,0.26668444562970867,4999,74992500,14999,0,4,0,39,15,358,1,0,0,2,BENIGN
6,11624,8185.392291810048,14.710942876806607,68,108524,2961,0,171,0,1460,556,406032,0,0,0,65,BENIGN
6,70,4542.857142857143,114.28571428571429,10,168,30,0,8,0,136,39,2163,0,0,0,5,BENIGN
6,167,23383.233532934133,65.86826347305389,16,758,83,0,11,0,1432,355,302295,0,1,0,5,BENIGN
6,1528,501.3089005235602,5.890052356020942,191,236994,1394,0,9,0,322,85,18399,0,0,0,5,BENIGN
6,236,2800.8474576271187,16.949152542372882,78,8737,182,0,4,0,340,165,36389,0,0,0,2,BENIGN
6,3614,93.24847814056447,1.6602102933038185,722,2407801,3498,0,6,0,147,56,5082,0,0,0,3,BENIGN
6,6832,49.03395784543326,1.0245901639344261,1138,3069198,3879,0,7,0,145,47,4672,0,0,0,3,BENIGN
6,3348,4344.68339307049,6.8697729988052565,152,190174,1939,0,23,0,1460,632,429783,0,0,0,10,BENIGN
6,1346,4298.662704309064,11.887072808320951,89,102667,1250,0,16,0,1424,361,323025,0,1,0,4,BENIGN
6,95,4778.9473684210525,31.57894736842105,47,4324,94,1,3,0,364,151,35945,0,0,0,2,BENIGN
6,2887,1850.0173190162798,3.4638032559750607,320,859059,2792,0,10,0,1440,534,395264,0,1,0,4,BENIGN
6,6516,764.5794966236955,2.4554941682013505,434,2331380,5943,0,16,0,1424,311,247526,0,1,0,6,BENIGN
6,70,22342.85714285714,85.71428571428571,14,213,36,0,6,0,1408,260,319740,0,1,0,2,BENIGN
6,38,6421.0526315789475,105.26315789473684,12,345,34,0,4,0,244,61,14884,0,1,0,1,BENIGN
17,13436,16.29949389699315,0.37213456385829113,3359,26960820,11137,389,5,28,56,43,212,0,0,0,0,BENIGN
6,55,9709.09090909091,54.54545454545455,27,1512,55,0,3,0,534,178,95052,0,1,0,1,BENIGN
6,1446,3417.0124481327803,16.597510373443985,62,46073,1043,0,24,0,1432,205,177420,0,1,0,18,BENIGN
6,10,552000.0,1400.0,0,2,4,0,14,0,1448,394,346980,0,1,0,7,BENIGN
6,11342,33645.21248457062,24.863339798977254,40,403609,10662,0,282,0,1460,1353,125790,0,1,0,25,BENIGN
6,11115,942.600089968511,1.6194331983805668,653,6609420,10629,0,18,0,1432,582,399813,0,1,0,8,BENIGN
6,13369,482.7586206896552,5.23599371680754,193,588307,6067,0,70,0,1432,92,63351,0,1,0,27,BENIGN
6,9888,748.9886731391585,1.9215210355987056,549,1412015,3296,0,19,0,1432,389,258789,0,1,0,8,BENIGN
6,10058,483.69457148538476,1.9884668920262478,529,4081981,8832,0,20,0,1440,243,183595,0,1,0,16,BENIGN
6,247,20611.336032388663,36.43724696356275,30,797,79,0,9,0,1432,565,388037,0,1,0,4,BENIGN
6,240,27316.666666666668,62.5,17,3687,229,0,15,0,1448,437,341572,0,1,0,8,BENIGN
6,9244,15305.603634790134,12.115967113803547,83,693302,8775,0,112,0,1432,1263,159118,0,1,0,31,BENIGN
6,440,133565.9090909091,120.45454545454545,8,2641,360,0,53,0,1448,1108,333296,0,1,0,11,BENIGN
6,868,75981.5668202765,77.1889400921659,13,2581,292,0,67,0,1448,984,398632,0,1,0,16,BENIGN
6,2516,19739.66613672496,20.66772655007949,49,24315,764,0,52,0,1448,955,430680,0,1,0,17,BENIGN
6,11716,3090.5599180607715,3.3287811539774665,308,851314,5107,0,39,0,1440,928,378223,0,0,0,12,BENIGN
6,42,730500.0,761.9047619047619,1,26,28,0,32,0,1448,958,413500,0,1,0,8,BENIGN
6,576,927.0833333333334,5.208333333333333,288,165888,576,0,3,0,534,178,95052,0,0,0,1,BENIGN
6,3859,86.29178543664162,2.0730759264058047,551,941099,2493,0,8,0,144,41,4209,0,0,0,3,BENIGN
6,426,1781.6901408450703,16.431924882629108,71,11361,246,0,7,0,253,108,18256,0,1,0,3,BENIGN
6,406,1869.4581280788177,17.24137931034483,67,8766,222,0,7,0,253,108,18256,0,1,0,3,BENIGN
6,1172,19817.40614334471,27.303754266211605,37,8109,447,0,32,0,1424,725,437615,0,1,0,13,BENIGN
6,365,2079.4520547945203,19.17808219178082,60,8192,222,0,7,0,253,108,18256,0,1,0,3,BENIGN
6,82,6170.731707317073,60.97560975609756,20,550,41,0,5,0,253,101,19198,0,1,0,2,BENIGN
