Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,13854,322.79486069005344,0.7218131947451999,1539,5332391,6912,1,10,0,559,447,55756,0,1,0,8,Attack
6,13854,212.50180453298685,0.7218131947451999,1539,5332140,6912,1,10,0,368,294,24300,0,1,0,8,Attack
6,13854,226.93806842789087,0.7218131947451999,1539,5332140,6912,1,10,0,393,314,27624,0,1,0,8,Attack
6,246,1544.7154471544716,36.58536585365854,30,6066,224,0,9,0,380,42,16062,0,1,0,1,Attack
6,151,2417.218543046358,52.980132450331126,21,2324,131,0,8,0,365,45,16643,0,1,0,1,Attack
6,92,5152.173913043478,86.95652173913044,13,451,61,0,8,0,474,59,28166,0,1,0,1,Attack
6,4714,88.6720407297412,1.2728044123886295,942,4337792,4669,0,6,0,418,69,29134,0,1,0,1,Attack
6,7920,76.13636363636364,1.0101010101010102,1131,3592127,4068,4,8,0,603,75,45501,0,1,0,1,Attack
6,7899,51.65210786175465,0.759589821496392,1579,4441984,4011,21,6,0,408,68,27754,0,1,0,1,Attack
6,4058,102.75998028585511,1.9714144898965007,579,2202887,3945,1,8,0,417,52,21780,0,1,0,1,Attack
6,4059,102.48829761024884,2.463661000246366,451,1719085,3947,0,10,0,416,41,17344,0,1,0,1,Attack
6,4056,104.53648915187377,2.465483234714004,450,1721304,3949,0,10,0,424,42,18000,0,1,0,1,Attack
6,4042,133.8446313706086,1.4844136566056407,808,3088309,3952,1,6,0,541,90,48744,0,1,0,1,Attack
6,4217,89.162912022765,2.1342186388427793,527,1920573,3954,0,9,0,376,41,15767,0,1,0,1,Attack
6,4425,148.0225988700565,2.0338983050847457,553,1914569,3959,0,9,0,655,72,47779,0,1,0,1,Attack
6,4139,170.0893935733269,2.174438270113554,517,2003199,4019,0,9,0,704,78,55132,0,1,0,1,Attack
6,7714,54.705729841845994,1.166709878143635,964,3127502,4062,0,9,0,422,46,19746,0,1,0,1,Attack
6,7715,36.94102397926118,1.2961762799740766,857,2747590,4058,0,10,0,285,28,8185,0,1,0,1,Attack
6,4263,75.2990851513019,2.345765892563922,473,1808244,4059,0,10,0,321,32,10391,0,1,0,1,Attack
6,4470,90.1565995525727,2.0134228187919465,558,2015284,4060,0,9,0,403,44,18097,0,1,0,1,Attack
6,7686,76.11241217798595,0.6505334374186833,1921,4945837,4059,0,5,0,585,117,68488,0,1,0,1,Attack
6,7683,54.92646101783158,0.6507874528179096,1920,4945835,4058,1,5,0,422,84,35560,0,1,0,1,Attack
6,4144,116.31274131274131,1.2065637065637065,1036,4078037,4065,1,5,0,482,96,46400,0,1,0,1,Attack
6,4544,98.15140845070422,2.2007042253521125,504,1785415,4059,0,10,0,446,44,19915,0,1,0,1,Attack
