Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,14607,0,0.342301636201821,3651,25540827,10793,22,5,0,0,0,0,0,3,2,0,Attack
6,14605,0,0.273878808627182,4868,30621405,10898,23,4,0,0,0,0,0,3,1,0,Attack
6,14620,0,0.410396716826265,2924,9470476,7525,45,6,0,0,0,0,0,4,2,0,Attack
6,14626,0,0.410228360453986,2925,8811810,7153,35,6,0,0,0,0,0,4,2,0,Attack
6,14633,0,0.478370805713114,2438,8147713,7033,29,7,0,0,0,0,0,4,3,0,Attack
6,14634,0,0.615006150061501,1829,3429913,3692,12,9,0,0,0,0,0,5,4,0,Attack
6,14635,0,0.614964127092586,1829,3430153,3692,12,9,0,0,0,0,0,5,4,0,Attack
6,14633,0,0.341693432652224,3658,25798594,10844,27,5,0,0,0,0,0,3,2,0,Attack
6,14634,0,0.478338116714501,2439,8667309,7401,27,7,0,0,0,0,0,4,3,0,Attack
6,14633,0,0.410032119182669,2926,8126542,7455,21,6,0,0,0,0,0,4,2,0,Attack
6,14636,0,0.478272752118065,2439,7766663,7464,15,7,0,0,0,0,0,4,3,0,Attack
6,14626,0,0.546971147271981,2089,3512015,3738,35,8,0,0,0,0,0,5,3,0,Attack
6,14636,0,0.614922109866084,1829,2723489,3686,15,9,0,0,0,0,0,5,4,0,Attack
6,14618,0,0.410452866329183,2923,8545153,7028,63,6,0,0,0,0,0,4,2,0,Attack
6,14617,0,0.410480946842717,2923,8546659,7027,61,6,0,0,0,0,0,4,2,0,Attack
6,14614,0,0.478992746681265,2435,7741981,7418,74,7,0,0,0,0,0,4,3,0,Attack
6,14618,0,0.342044055274319,3654,9213720,7440,52,5,0,0,0,0,0,3,2,0,Attack
6,14617,0,0.205240473421359,7308,104907612,14551,66,3,0,0,0,0,0,2,1,0,Attack
6,14617,0,0.205240473421359,7308,104907612,14551,66,3,0,0,0,0,0,2,1,0,Attack
6,14617,0,0.47889443798317,2436,3314612,3811,63,7,0,0,0,0,0,5,2,0,Attack
6,14617,0,0.273653964561812,4872,30732212,10937,66,4,0,0,0,0,0,3,1,0,Attack
6,14619,0,0.273616526438197,4873,30736801,10937,64,4,0,0,0,0,0,3,1,0,Attack
