Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,314,25363.057324840764,73.2484076433121,14,1013,147,0,23,0,1460,346,308408,0,1,0,8,BENIGN
6,140,23714.285714285714,92.85714285714286,11,239,43,0,13,0,1391,255,181418,0,1,0,7,BENIGN
6,154,41584.41558441558,103.8961038961039,10,176,42,0,16,0,2920,400,625812,0,1,0,7,BENIGN
6,208,31706.73076923077,110.57692307692308,9,197,42,0,23,0,2920,286,466809,0,1,0,10,BENIGN
6,65,2676.923076923077,138.46153846153845,8,131,28,0,9,0,65,19,618,0,0,0,4,BENIGN
6,34,11088.235294117647,117.6470588235294,11,321,32,0,4,0,372,94,34292,0,1,0,2,BENIGN
6,37,9081.081081081082,108.10810810810811,12,385,35,1,4,0,331,84,27230,0,1,0,2,BENIGN
6,14624,7491.862691466084,11.693107221006565,86,365574,6986,0,171,0,1460,640,433800,0,1,0,65,BENIGN
17,8069,21.687941504523486,0.24786218862312553,8069,1,8069,8069,2,84,91,87,24,0,0,0,0,BENIGN
17,498,419.6787148594378,4.016064257028113,498,1,498,498,2,97,112,104,112,0,0,0,0,BENIGN
17,497,571.4285714285714,4.0241448692152915,497,1,497,497,2,121,163,142,882,0,0,0,0,BENIGN
17,1221,175.26617526617525,1.638001638001638,1221,1,1221,1221,2,101,113,107,72,0,0,0,0,BENIGN
17,3118,69.91661321359847,0.6414368184733804,3118,1,3118,3118,2,93,125,109,512,0,0,0,0,BENIGN
6,65,2676.923076923077,92.3076923076923,13,171,29,0,6,0,65,29,634,0,0,0,4,BENIGN
6,12807,783.3216209885219,1.7958928710861248,582,7223142,12617,0,23,0,1460,436,380874,0,1,0,9,BENIGN
6,95,57347.36842105263,84.21052631578948,13,223,36,0,8,0,1460,681,524616,0,1,0,3,BENIGN
6,84,198809.52380952382,142.85714285714286,7,121,25,0,12,0,2920,1391,1179568,0,1,0,3,BENIGN
6,79,3949.3670886075947,88.60759493670886,13,192,29,0,7,0,203,44,5219,0,0,0,4,BENIGN
6,456,945.1754385964912,19.736842105263158,57,7649,258,0,9,0,144,47,5101,0,0,0,3,BENIGN
6,68,71823.5294117647,88.23529411764706,13,141,26,0,6,0,2904,814,1239354,0,1,0,3,BENIGN
6,997,91359.07723169509,71.2136409227683,14,2270,349,0,71,0,2904,1282,668676,0,1,0,8,BENIGN
6,2628,351.97869101978694,4.946727549467275,219,334578,1994,0,13,0,255,71,11252,0,0,0,7,BENIGN
17,7762,27.699046637464573,0.2576655501159495,7762,1,7762,7762,2,98,117,107,180,0,0,0,0,BENIGN
17,5958,47.16347767707284,0.3356831151393085,5958,1,5958,5958,2,101,180,140,3120,0,0,0,0,BENIGN
6,76,4105.263157894737,92.10526315789474,12,198,28,0,7,0,203,44,5230,0,0,0,4,BENIGN
6,44,3795.4545454545455,68.18181818181819,22,800,42,2,3,0,167,55,9296,0,1,0,1,BENIGN
6,65,2676.923076923077,123.07692307692308,9,148,28,0,8,0,65,21,644,0,0,0,4,BENIGN
17,11219,54.55031642748908,0.4456725198324271,2804,19963015,9384,4,5,56,154,122,1604,0,0,0,0,BENIGN
17,13153,47.36562001064396,0.4561696951265871,2630,13269512,7427,1,6,50,154,103,1227,0,0,0,0,BENIGN
6,77,4051.948051948052,90.9090909090909,12,204,29,0,7,0,203,44,5230,0,0,0,4,BENIGN
6,4848,62041.87293729373,40.635313531353134,24,3415,219,0,197,0,2920,1526,154629,0,1,0,5,BENIGN
17,13538,54.88255281430049,0.44319692716797165,2707,13097669,7125,2,6,49,190,123,2219,0,0,0,0,BENIGN
17,14311,53.106002375794844,0.4192579134931172,2862,15653723,8012,2,6,49,190,126,2417,0,0,0,0,BENIGN
17,14315,42.54278728606357,0.34928396786587496,3578,27755047,11176,20,5,100,151,121,346,0,0,0,0,BENIGN
6,5075,543.8423645320197,3.1527093596059115,338,1599892,4911,0,16,0,1460,172,162598,0,1,0,6,BENIGN
6,9911,8672.182423569771,17.354454646352536,57,32206,1702,0,172,0,2920,499,432680,0,1,0,88,BENIGN
6,168,2910.714285714286,59.523809523809526,18,739,56,0,10,0,194,48,4859,0,1,0,5,BENIGN
6,795,8550.943396226416,13.836477987421384,79,16145,272,0,11,0,1460,618,474214,0,1,0,3,BENIGN
6,101,80871.28712871287,158.41584158415841,6,120,32,0,16,0,1460,510,422364,0,1,0,6,BENIGN
6,4944,507.07928802589,5.05663430420712,206,922710,4718,0,25,0,907,100,41063,0,1,0,14,BENIGN
6,65,2676.923076923077,123.07692307692308,9,152,28,0,8,0,65,21,641,0,0,0,4,BENIGN
6,10599,40.8529106519483,0.8491367110104727,1324,10544694,9307,0,9,0,145,48,5186,0,0,0,3,BENIGN
17,6454,32.84784629687016,0.3098853424233034,6454,1,6454,6454,2,102,110,106,32,0,0,0,0,BENIGN
6,66,2636.3636363636365,136.36363636363637,8,140,28,0,9,0,65,19,609,0,0,0,4,BENIGN
17,876,288.81278538812785,2.2831050228310503,876,1,876,876,2,107,146,126,760,0,0,0,0,BENIGN
6,173,2820.809248554913,57.80346820809248,19,798,58,0,10,0,193,48,4829,0,1,0,5,BENIGN
6,10460,1361.281070745698,13.479923518164435,74,228828,5068,0,141,0,1460,100,108977,0,0,0,23,BENIGN
6,236,23067.79661016949,72.03389830508475,14,635,61,0,17,0,1460,320,287500,0,1,0,8,BENIGN
6,233,28317.596566523604,103.00429184549357,10,222,44,0,24,0,1460,274,264779,0,1,0,10,BENIGN
6,9641,109.63592988279224,0.7260657608131936,1606,3093334,4812,297,7,151,151,151,0,0,0,0,7,BENIGN
6,75,2520.0,53.333333333333336,25,1875,75,0,4,0,143,47,4566,0,0,0,2,BENIGN
17,1,333000.0,2000.0,1,1,1,1,2,152,181,166,420,0,0,0,0,BENIGN
17,1,397000.0,2000.0,1,1,1,1,2,185,212,198,364,0,0,0,0,BENIGN
6,11501,1621.5111729414834,5.651682462394574,179,192410,2139,0,65,0,1460,286,218708,0,0,0,36,BENIGN
6,14800,11.756756756756756,0.6081081081081081,1850,27095565,14732,0,9,0,65,19,618,0,0,0,4,BENIGN
6,85,64094.117647058825,82.3529411764706,14,186,30,0,7,0,2920,778,1234326,0,1,0,3,BENIGN
6,116,143965.5172413793,112.06896551724138,9,262,47,0,13,0,2920,1284,874802,0,1,0,3,BENIGN
17,12267,26.330806228091628,0.16303904785196055,12267,1,12267,12267,2,93,230,161,9384,0,0,0,0,BENIGN
17,13319,27.930024776634884,0.2252421352954426,6659,28312812,10422,2897,3,105,137,124,273,0,0,0,0,BENIGN
17,14175,28.007054673721342,0.21164021164021163,7087,35103820,11277,2898,3,94,154,132,1127,0,0,0,0,BENIGN
17,13203,33.098538211012645,0.22722108611679165,6601,10512,6674,6529,3,101,230,145,5320,0,0,0,0,BENIGN
6,4182,69.10569105691057,1.4347202295552368,836,3083995,3976,0,6,0,145,48,5560,0,0,0,2,BENIGN
17,1585,102.20820189274448,1.2618296529968454,1585,1,1585,1585,2,52,110,81,1682,0,0,0,0,BENIGN
17,8919,21.97555779795941,0.22424038569346338,8919,1,8919,8919,2,93,103,98,50,0,0,0,0,BENIGN
6,2760,2561.9565217391305,8.695652173913043,120,120758,1590,0,24,0,1460,294,250481,0,0,0,11,BENIGN
