Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
17,7015,68.4248039914469,1.4255167498218104,779,945213,2000,0,10,48,48,48,0,0,0,0,0,BENIGN
17,6000,32.0,0.6666666666666666,2000,1,2001,1999,4,48,48,48,0,0,0,0,0,BENIGN
17,14999,22.401493432895528,0.4666977798519901,2499,1500740,5000,1999,7,48,48,48,0,0,0,0,0,BENIGN
17,14993,9.604482091642767,0.2000933769092243,7496,60357084,12990,2003,3,48,48,48,0,0,0,0,0,BENIGN
17,2000,48.0,1.0,2000,1,2000,2000,2,48,48,48,0,0,0,0,0,BENIGN
17,4000,36.0,0.75,2000,2,2001,1999,3,48,48,48,0,0,0,0,0,BENIGN
17,4000,36.0,0.75,2000,0,2000,2000,3,48,48,48,0,0,0,0,0,BENIGN
17,6001,31.994667555407432,0.6665555740709882,2000,0,2001,2000,4,48,48,48,0,0,0,0,0,BENIGN
17,8000,30.0,0.625,2000,0,2001,1999,5,48,48,48,0,0,0,0,0,BENIGN
17,8000,30.0,0.625,2000,0,2000,2000,5,48,48,48,0,0,0,0,0,BENIGN
17,10000,28.8,0.6,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,BENIGN
17,10000,28.8,0.6,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,BENIGN
17,12000,28.0,0.5833333333333334,2000,0,2001,1999,7,48,48,48,0,0,0,0,0,BENIGN
17,10000,28.8,0.6,2000,0,2001,1999,6,48,48,48,0,0,0,0,0,BENIGN
17,10000,28.8,0.6,2000,0,2001,1999,6,48,48,48,0,0,0,0,0,BENIGN
17,10000,28.8,0.6,2000,0,2001,1999,6,48,48,48,0,0,0,0,0,BENIGN
17,9999,28.802880288028803,0.6000600060006,1999,0,2001,1999,6,48,48,48,0,0,0,0,0,BENIGN
17,6011,31.94144069206455,0.6654466810846781,2003,114,2016,1995,4,48,48,48,0,0,0,0,0,BENIGN
17,10000,28.8,0.6,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,BENIGN
17,10000,28.8,0.6,2000,11,2005,1995,6,48,48,48,0,0,0,0,0,BENIGN
17,10000,28.8,0.6,2000,0,2001,1999,6,48,48,48,0,0,0,0,0,BENIGN
17,9999,28.802880288028803,0.6000600060006,1999,0,2000,1999,6,48,48,48,0,0,0,0,0,BENIGN
6,15,453200.0,866.6666666666666,1,15,14,0,13,0,3069,522,888390,0,2,0,10,BENIGN
6,1314,6598.173515981735,14.459665144596652,73,66910,1097,0,19,0,3069,456,599803,0,2,0,16,BENIGN
6,14786,29.216826727985932,0.4057892601109157,2957,43348672,14735,0,6,72,72,72,0,0,0,0,6,BENIGN
6,14786,170.97254159339917,0.5410523468145543,2112,14250531,9390,0,8,316,316,316,0,0,0,0,8,BENIGN
6,13092,855.1787351054079,1.833180568285976,569,1186655,3623,0,24,241,1121,466,75736,0,0,0,24,BENIGN
6,13092,574.7021081576536,2.2914757103574703,451,1858415,6656,0,30,72,580,250,21971,0,0,0,30,BENIGN
6,1,144000.0,2000.0,1,1,1,1,2,72,72,72,0,0,0,0,2,BENIGN
6,9479,266.6947990294335,0.8439708830045364,1354,12830278,9477,0,8,316,316,316,0,0,0,0,8,BENIGN
6,13681,296.1771800306995,0.7309407207075507,1520,11402348,9878,0,10,241,614,405,33120,0,0,0,10,BENIGN
6,10205,97.99118079372856,0.7839294463498285,1457,14298060,10033,0,8,0,821,125,82980,0,1,0,2,BENIGN
6,10795,538.4900416859657,1.204261232051876,899,8287665,10034,0,13,0,1608,447,419145,0,1,0,4,BENIGN
6,10215,494.5668135095448,0.5873715124816447,2043,20036579,10050,0,6,0,2920,842,1315239,0,1,0,3,BENIGN
6,10653,588.2849901436215,1.2203135267060923,887,8286414,10022,0,13,0,1448,482,243381,0,1,0,7,BENIGN
6,5582,705.8402006449302,1.6123253314224293,697,3553452,5363,0,9,0,1575,437,403937,0,1,0,4,BENIGN
6,7804,2263.8390568939008,1.9220912352639672,557,491434,1873,0,15,0,1963,1177,564744,0,1,0,9,BENIGN
6,6173,1773.8538797991253,2.429936821642637,440,814355,2516,0,15,0,1726,730,506567,0,1,0,6,BENIGN
6,5765,814.3972246313964,1.5611448395490026,720,2018972,3856,0,9,0,1481,521,335247,0,1,0,5,BENIGN
6,10304,565.8967391304348,0.7763975155279503,1472,14430419,10086,0,8,0,2310,728,783143,0,1,0,3,BENIGN
6,10101,1868.3298683298683,1.386001386001386,777,7712445,10022,0,14,0,4344,1348,1400214,0,1,0,3,BENIGN
6,10457,2359.2808644926845,2.6776322080902744,387,3718398,10038,0,28,0,1448,881,438256,0,1,0,5,BENIGN
6,11107,1200.6842531736743,1.7106329341856488,617,5547929,10037,0,19,0,1790,701,493027,0,1,0,5,BENIGN
6,8636,1591.130152848541,1.5053265400648448,719,855608,2690,0,13,0,1963,1057,540208,0,1,0,7,BENIGN
6,10378,1200.327616111004,1.4453651956060898,741,7158549,10037,0,15,0,2116,830,623241,0,1,0,3,BENIGN
6,7452,1576.4895330112722,1.8786902844873858,573,236486,1687,12,14,0,979,839,126831,0,1,0,12,BENIGN
6,7996,895.9479739869935,1.375687843921961,799,304882,1975,1,11,0,796,651,104216,0,1,0,9,BENIGN
6,11981,3423.00308822302,2.3370336365912694,443,3737678,10040,0,28,0,2896,1464,679878,0,1,0,5,BENIGN
6,11911,3316.0104105448745,3.526152296196793,290,2447679,10039,0,42,0,2684,940,563690,0,1,0,11,BENIGN
6,11912,21170.248488918736,13.012088650100738,77,653371,10039,0,155,0,4344,1626,805459,0,1,0,16,BENIGN
6,11349,4842.541193056657,3.7007665873645257,276,2459072,10040,0,42,0,2896,1308,712480,0,1,0,6,BENIGN
6,11348,2354.0712019739162,2.1149101163200563,493,4366058,10040,0,24,0,4344,1113,1415131,0,1,0,5,BENIGN
6,11923,2156.168749475803,2.264530738907993,458,3856577,10039,0,27,0,2896,952,655735,0,1,0,6,BENIGN
6,11405,3070.583077597545,2.7181060938185007,380,3351999,10040,0,31,0,3347,1129,909651,0,1,0,8,BENIGN
6,11425,2429.7592997811817,2.538293216630197,408,3591576,10040,0,29,0,2896,957,635143,0,1,0,7,BENIGN
6,12031,23176.377690965008,14.130163743662205,71,595844,10041,0,170,0,4344,1640,688880,0,1,0,15,BENIGN
6,12196,12850.19678583142,8.937356510331256,112,931707,10042,0,109,0,4344,1437,787263,0,1,0,15,BENIGN
6,12115,24828.312009905076,15.022699133305819,66,557196,10045,0,182,0,4344,1652,757060,0,1,0,16,BENIGN
6,13031,1527.127618755276,2.071982196301128,501,327552,2491,1,27,0,796,737,45832,0,1,0,25,BENIGN
