Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,URG Flag Cnt,Init Fwd Win Byts,Label
6,1,3232000.0,8000000.0,0,0,1,0,8,0,1616,404,559604,0,2,1,2,0,8192,BENIGN
6,2,1616000.0,4500000.0,0,0,1,0,9,0,1616,359,507878,0,2,1,2,0,8192,BENIGN
6,55,50727.27272727273,163636.36363636365,6,354,53,0,9,0,1395,310,378527,0,2,1,2,0,8192,BENIGN
6,62,43161.290322580644,145161.29032258064,7,463,61,0,9,0,1338,297,348154,0,2,1,2,0,8192,BENIGN
6,286,3979.020979020979,52447.55244755245,20,5732,283,0,15,0,212,75,6530,0,2,1,8,0,8192,BENIGN
6,13915,550.6288178224937,1796.6223499820337,579,2373128,5649,0,25,0,3069,306,497790,0,2,0,22,0,8192,BENIGN
6,14354,1149.0873624076912,3413.6825971854537,299,1241226,5649,0,49,0,3069,336,240062,0,2,0,44,0,8192,BENIGN
17,11993,20.011673476194446,416.90986408738434,2998,4029662,6009,1984,5,48,48,48,0,0,0,0,0,0,0,BENIGN
6,4231,68.06901441739541,945.4029780193807,1410,5966415,4231,0,4,72,72,72,0,0,0,0,4,0,2076,BENIGN
6,5012,504.38946528332,1596.1691939345571,716,2473410,4219,0,8,316,316,316,0,0,0,0,8,0,2079,BENIGN
17,11968,32.0855614973262,668.4491978609626,1709,242720,2000,973,8,48,48,48,0,0,0,0,0,0,0,BENIGN
17,12000,32.0,666.6666666666666,1714,227214,2000,1010,8,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10984,30.58994901675164,637.2906045156592,1830,170336,2006,989,7,48,48,48,0,0,0,0,0,0,0,BENIGN
17,11978,28.05142761729838,584.4047420270496,1996,72,2006,1983,7,48,48,48,0,0,0,0,0,0,0,BENIGN
17,1995,96.2406015037594,2005.0125313283208,665,1326342,1995,0,4,48,48,48,0,0,0,0,0,0,0,BENIGN
17,12965,25.915927497107596,539.9151561897417,2160,159657,2976,1988,7,48,48,48,0,0,0,0,0,0,0,BENIGN
17,11964,28.084252758274825,585.0885991307255,1994,167,2001,1969,7,48,48,48,0,0,0,0,0,0,0,BENIGN
17,12965,25.915927497107596,539.9151561897417,2160,157363,2970,1995,7,48,48,48,0,0,0,0,0,0,0,BENIGN
17,9966,28.898254063816978,602.0469596628537,1993,130,2001,1975,6,48,48,48,0,0,0,0,0,0,0,BENIGN
6,1047,412.6074498567335,4775.549188156638,261,159990,858,0,5,0,216,86,13996,1,1,0,2,0,14480,BENIGN
6,1083,94605.72483841181,49861.495844875346,20,9483,701,0,54,0,4344,1897,785936,1,1,0,4,0,28960,BENIGN
