Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,URG Flag Cnt,Init Fwd Win Byts,Label
17,8000,30.0,625.0,2000,0,2000,2000,5,48,48,48,0,0,0,0,0,0,0,BENIGN
17,6001,31.994667555407432,666.5555740709882,2000,0,2001,2000,4,48,48,48,0,0,0,0,0,0,0,BENIGN
17,8000,30.0,625.0,2000,0,2000,2000,5,48,48,48,0,0,0,0,0,0,0,BENIGN
17,7999,30.0037504688086,625.0781347668459,1999,0,2000,1999,5,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10000,28.8,600.0,2000,8,2004,1996,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10000,28.8,600.0,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,9999,28.802880288028803,600.0600060006001,1999,0,2001,1999,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10000,28.8,600.0,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,0,0,BENIGN
6,1,332000.0,7000000.0,0,0,1,0,7,0,163,47,6241,0,2,1,2,0,8192,BENIGN
6,1,3158000.0,9000000.0,0,0,1,0,9,0,1576,350,482421,0,2,1,2,0,8192,BENIGN
6,14,475714.28571428574,857142.8571428572,1,15,13,0,12,0,3069,555,955313,0,2,1,8,0,8192,BENIGN
6,1,3158000.0,9000000.0,0,0,1,0,9,0,1576,350,482421,0,2,1,2,0,8192,BENIGN
6,1,332000.0,7000000.0,0,0,1,0,7,0,163,47,6241,0,2,1,2,0,8192,BENIGN
6,1,3158000.0,9000000.0,0,0,1,0,9,0,1576,350,482421,0,2,1,2,0,8192,BENIGN
6,2,1569000.0,4500000.0,0,0,1,0,9,0,1566,348,476269,0,2,1,2,0,8192,BENIGN
6,11975,1156.2421711899792,3423.7995824634654,299,1061142,6032,0,41,0,3069,337,299405,0,2,0,38,0,8192,BENIGN
6,12851,1632.2465177807173,3346.043109485643,305,917549,5778,0,43,0,3069,487,304653,0,2,0,40,0,8192,BENIGN
17,14999,19.20128008533902,400.026668444563,2999,4990131,6996,1999,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,15000,16.0,333.3333333333333,3750,12212320,8992,2000,5,48,48,48,0,0,0,0,0,0,0,BENIGN
17,15000,19.2,400.0,3000,4999583,7000,2000,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,2008,47.808764940239044,996.01593625498,2008,1,2008,2008,2,48,48,48,0,0,0,0,0,0,0,BENIGN
17,14000,17.142857142857142,357.14285714285717,3500,9000000,8000,2000,5,48,48,48,0,0,0,0,0,0,0,BENIGN
17,7015,68.4248039914469,1425.5167498218104,779,945214,2001,0,10,48,48,48,0,0,0,0,0,0,0,BENIGN
17,2000,48.0,1000.0,2000,1,2000,2000,2,48,48,48,0,0,0,0,0,0,0,BENIGN
17,6000,32.0,666.6666666666666,2000,1,2001,1999,4,48,48,48,0,0,0,0,0,0,0,BENIGN
17,2001,47.976011994002995,999.5002498750624,2001,1,2001,2001,2,48,48,48,0,0,0,0,0,0,0,BENIGN
17,6000,32.0,666.6666666666666,2000,16,2004,1996,4,48,48,48,0,0,0,0,0,0,0,BENIGN
17,4000,36.0,750.0,2000,0,2000,2000,3,48,48,48,0,0,0,0,0,0,0,BENIGN
17,2000,48.0,1000.0,2000,1,2000,2000,2,48,48,48,0,0,0,0,0,0,0,BENIGN
6,4127,612.5514901865762,1938.454082868912,589,2431851,4126,0,8,316,316,316,0,0,0,0,8,0,2080,BENIGN
17,10000,28.8,600.0,2000,0,2001,1999,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,2000,48.0,1000.0,2000,1,2000,2000,2,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10000,28.8,600.0,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10004,28.788484606157535,599.7600959616153,2000,3,2004,2000,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10000,28.8,600.0,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10005,28.7856071964018,599.7001499250375,2001,3,2004,1999,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10000,28.8,600.0,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,9999,28.802880288028803,600.0600060006001,1999,0,2000,1999,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10007,28.77985410212851,599.580293794344,2001,54,2013,1995,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10012,28.76548142229325,599.2808629644427,2002,36,2012,1996,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10000,28.8,600.0,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,0,0,BENIGN
17,10009,28.77410330702368,599.4604855629933,2001,112,2018,1989,6,48,48,48,0,0,0,0,0,0,0,BENIGN
6,1,3138000.0,9000000.0,0,0,1,0,9,0,1566,348,476269,0,2,1,2,0,8192,BENIGN
6,6360,205.0314465408805,628.930817610063,2120,13483200,6360,0,4,72,580,326,86077,0,0,0,4,0,2081,BENIGN
6,6167,584.7251499918923,1621.5339711366953,685,4222000,6164,0,10,241,614,360,18828,0,0,0,10,0,2080,BENIGN
6,1,3138000.0,9000000.0,0,0,1,0,9,0,1566,348,476269,0,2,1,2,0,8192,BENIGN
6,2771,2509.5633345362685,17683.146878383253,57,39307,972,0,49,0,976,141,90441,1,2,0,26,0,28960,BENIGN
6,1368,4849.415204678363,31432.748538011696,32,21595,956,0,43,0,976,154,100589,1,2,0,24,0,28960,BENIGN
6,5441,830.729645285793,4410.953868774122,236,288346,2357,0,24,0,1418,188,167496,1,1,0,12,0,42408,BENIGN
6,751,5794.940079893476,11984.021304926764,93,13293,325,0,9,0,1398,483,339060,1,1,0,3,0,0,BENIGN
6,10040,90.93625498007968,398.40637450199205,3346,33346674,10015,10,4,0,913,228,208341,0,1,0,1,0,28960,BENIGN
6,10016,0.0,199.68051118210863,10016,1,10016,10016,2,0,0,0,0,0,0,0,0,0,939,BENIGN
6,10016,0.0,199.68051118210863,10016,1,10016,10016,2,0,0,0,0,0,0,0,0,0,939,BENIGN
6,10016,0.0,199.68051118210863,10016,1,10016,10016,2,0,0,0,0,0,0,0,0,0,939,BENIGN
6,10017,0.0,199.66057701906757,10017,1,10017,10017,2,0,0,0,0,0,0,0,0,0,939,BENIGN
6,10017,0.0,199.66057701906757,10017,1,10017,10017,2,0,0,0,0,0,0,0,0,0,939,BENIGN
6,10341,538.7293298520452,1257.1318054346775,861,8350012,10037,0,13,0,1418,428,392224,0,1,0,3,0,42408,BENIGN
6,10389,143.61343728944075,481.27827509866205,2597,24607596,10036,18,5,0,746,298,166930,0,1,0,2,0,42408,BENIGN
6,10266,13215.760763685954,8377.167348529125,120,1179008,10023,0,86,0,2896,1577,572054,0,1,0,15,0,28960,BENIGN
6,10048,0.0,199.04458598726114,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,0,562,BENIGN
6,10048,0.0,199.04458598726114,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,0,349,BENIGN
6,10016,0.0,199.68051118210863,10016,1,10016,10016,2,0,0,0,0,0,0,0,0,0,136,BENIGN
6,10047,0.0,199.06439733253708,10047,1,10047,10047,2,0,0,0,0,0,0,0,0,0,562,BENIGN
6,10048,0.0,199.04458598726114,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,0,349,BENIGN
6,10047,0.0,199.06439733253708,10047,1,10047,10047,2,0,0,0,0,0,0,0,0,0,136,BENIGN
6,10048,0.0,199.04458598726114,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,0,562,BENIGN
6,10045,0.0,199.1040318566451,10045,1,10045,10045,2,0,0,0,0,0,0,0,0,0,136,BENIGN
6,10048,0.0,199.04458598726114,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,0,349,BENIGN
6,10048,0.0,199.04458598726114,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,0,562,BENIGN
6,10048,0.0,199.04458598726114,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,0,136,BENIGN
