Time,Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
07/07/2017 09:00:50 AM,6,10786,10518.07899,32.82032264,30,144219,6952,0,354,0,3254,320,297900,0,46,44,200,BENIGN
07/07/2017 09:00:55 AM,6,89,67.41573034,22.47191011,89,1,89,89,2,0,6,3,18,0,1,0,0,BENIGN
07/07/2017 09:01:06 AM,6,2687,113.1373279,3.721622627,298,802555,2687,0,10,6,128,30,2715,4,0,0,2,BENIGN
07/07/2017 09:00:50 AM,17,9920,587.0967742,5.443548387,187,345773,2598,0,54,48,163,107,1423,0,0,0,0,BENIGN
07/07/2017 09:01:36 AM,6,2649,9.06002265,2.265005663,529,1402490,2648,0,6,0,6,4,10,2,0,0,0,BENIGN
07/07/2017 09:01:20 AM,6,84,44654.7619,35.71428571,42,3528,84,0,3,6,2920,1250,2259152,0,0,0,1,BENIGN
07/07/2017 09:02:14 AM,17,11026,95.95501542,0.544168329,2205,21127299,10414,0,6,114,222,176,2497,0,0,0,0,BENIGN
07/07/2017 09:02:14 AM,6,425,3675.294118,9.411764706,141,18601,299,57,4,107,485,390,35721,0,0,0,4,BENIGN
07/07/2017 09:03:06 AM,6,48,250,83.33333333,16,768,48,0,4,0,6,3,12,0,0,0,0,BENIGN
07/07/2017 09:02:25 AM,6,12211,4314.880026,2.866268119,359,1114784,5062,0,35,0,2920,1505,424094,0,1,0,6,BENIGN
07/07/2017 09:02:39 AM,6,13901,23138.1915,13.020646,77,117727,2481,0,181,0,4380,1777,846001,0,1,0,23,BENIGN
07/07/2017 09:02:14 AM,6,40,5950,75,20,800,40,0,3,0,232,79,17489,0,1,0,1,BENIGN
