Time,Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
03/07/2017 09:09:55 AM,17,9343,201.64829283955902,3.2109600770630418,322,429820,2251,0,30,48,98,62,340,0,0,0,0,BENIGN
03/07/2017 09:10:04 AM,6,5100,127.6470588235294,0.9803921568627451,1275,6184698,5005,0,5,0,646,130,83135,1,1,0,2,BENIGN
03/07/2017 09:10:55 AM,17,13385,82.03212551363467,0.7471049682480388,1487,19851221,13370,0,10,66,163,109,1273,0,0,0,0,BENIGN
03/07/2017 09:11:23 AM,17,1046,252.39005736137668,3.8240917782026767,348,364705,1046,0,4,66,66,66,0,0,0,0,0,BENIGN
03/07/2017 09:12:08 AM,17,4298,105.16519311307584,1.3959981386691485,859,3622370,4264,0,6,55,104,75,528,0,0,0,0,BENIGN
03/07/2017 09:12:23 AM,17,5058,78.29181494661921,1.1862396204033214,1011,3083218,4055,0,6,66,66,66,0,0,0,0,0,BENIGN
03/07/2017 09:12:13 AM,6,1315,6007.6045627376425,18.250950570342205,57,4868,271,0,24,0,1448,329,293347,2,2,0,6,BENIGN
03/07/2017 09:12:58 AM,17,2541,155.84415584415584,2.3612750885478158,508,520233,1539,0,6,66,66,66,0,0,0,0,0,BENIGN
03/07/2017 09:13:29 AM,17,1001,263.7362637362637,3.996003996003996,333,333833,1001,0,4,66,66,66,0,0,0,0,0,BENIGN
03/07/2017 09:13:14 AM,6,813,9717.09717097171,29.52029520295203,35,2652,219,0,24,0,1448,329,293495,2,2,0,6,BENIGN
03/07/2017 09:14:15 AM,6,1331,5935.386927122464,17.280240420736288,60,6535,322,0,23,0,2896,343,492374,2,2,0,6,BENIGN
