Time,Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
06/07/2017 09:00:47 AM,17,4000,36.0,0.75,2000,0,2000,2000,3,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:00:49 AM,17,2000,48.0,1.0,2000,1,2000,2000,2,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:00:51 AM,17,15000,6.4,0.13333333333333333,15000,1,15000,15000,2,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:00:50 AM,17,2007,47.832585949177876,0.9965122072745392,2007,1,2007,2007,2,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:00:46 AM,17,5999,32.005334222370394,0.6667777962993833,1999,0,2000,1999,4,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:00:37 AM,17,7387,3133.6131041018007,24.367131447136863,41,46885,2000,0,180,24,1430,128,60078,0,0,0,0,BENIGN
06/07/2017 09:00:48 AM,17,3999,36.00900225056264,0.7501875468867217,1999,0,2000,1999,3,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:00:43 AM,6,1412,22885.26912181303,65.86402266288952,15,14259,1129,0,93,0,3069,347,510875,0,16,14,44,BENIGN
06/07/2017 09:01:14 AM,17,5999,32.005334222370394,0.6667777962993833,1999,0,2000,1999,4,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:03 AM,17,8000,30.0,0.625,2000,0,2000,2000,5,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:17 AM,17,8000,30.0,0.625,2000,0,2000,2000,5,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:33 AM,6,635,7262.992125984252,12.598425196850394,90,12768,219,0,8,241,871,576,57416,0,0,0,8,BENIGN
06/07/2017 09:00:52 AM,17,11000,30.545454545454547,0.6363636363636364,1833,166880,2000,1000,7,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:00:56 AM,17,10006,23.98560863481911,0.4997001798920648,2501,1800256,4487,1618,5,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:06 AM,17,10000,28.8,0.6,2000,0,2001,1999,6,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:07 AM,17,10000,28.8,0.6,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:08 AM,17,8000,30.0,0.625,2000,0,2000,2000,5,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:08 AM,17,10000,28.8,0.6,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:06 AM,17,9977,28.8663927032174,0.6013831813170292,1995,4782,2069,1918,6,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:06 AM,17,10000,28.8,0.6,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:08 AM,17,10000,28.8,0.6,2000,0,2000,2000,6,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:01:13 AM,17,9999,28.802880288028803,0.6000600060006,1999,0,2000,1999,6,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:02:03 AM,17,7,852857.1428571428,5428.571428571428,0,0,1,0,38,48,1398,157,88792,0,0,0,0,BENIGN
06/07/2017 09:01:55 AM,6,10980,1814.7540983606557,5.646630236794171,180,716295,6395,0,62,0,1566,321,110903,0,2,2,54,BENIGN
06/07/2017 09:02:29 AM,6,11705,742.0760358821017,2.2212729602733874,468,3378251,9070,0,26,0,1566,334,174163,0,2,2,18,BENIGN
06/07/2017 09:02:41 AM,17,13139,908.7449577593425,5.784306263794809,175,2298076,13124,0,76,48,1398,157,87614,0,0,0,0,BENIGN
06/07/2017 09:01:59 AM,17,10001,28.797120287971204,0.5999400059994,2000,0,2001,1999,6,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:02:45 AM,6,9383,925.7167217307897,2.7709687733134394,375,2434688,7791,0,26,0,1566,334,174163,0,2,2,18,BENIGN
06/07/2017 09:00:58 AM,17,4000,36.0,0.75,2000,0,2000,2000,3,48,48,48,0,0,0,0,0,BENIGN
06/07/2017 09:03:08 AM,6,10048,79.21974522292993,0.3980891719745223,3349,33400165,10023,1,4,0,796,199,158359,0,1,0,1,BENIGN
06/07/2017 09:03:00 AM,17,7978,170.71947856605667,1.5041363750313361,725,5061707,7503,0,12,83,141,113,449,0,0,0,0,BENIGN
06/07/2017 09:03:28 AM,6,10048,0.0,0.19904458598726116,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
06/07/2017 09:03:48 AM,6,10048,0.0,0.19904458598726116,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
06/07/2017 09:04:08 AM,6,10048,0.0,0.19904458598726116,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
06/07/2017 09:04:28 AM,6,10048,0.0,0.19904458598726116,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
