Time,Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
05/07/2017 08:42:50 AM,6,2,736000.0,6000.0,0,0,1,0,12,0,328,122,13666,0,4,0,8,BENIGN
05/07/2017 08:47:25 AM,17,6245,67.57405924739791,0.6405124099279423,2081,12998967,6245,0,4,48,163,105,4420,0,0,0,0,BENIGN
05/07/2017 08:47:28 AM,6,13668,2517.2666081357916,11.559847819724904,87,577256,9171,0,158,0,1472,217,184787,0,30,26,68,BENIGN
05/07/2017 08:47:58 AM,6,7836,609.4946401225114,1.2761613067891782,870,3220373,5274,0,10,0,796,477,169225,0,2,0,6,BENIGN
05/07/2017 08:47:58 AM,6,10049,38.2127574883073,0.7960991143397353,1435,5984223,5204,0,8,0,384,48,18433,1,4,0,1,BENIGN
05/07/2017 08:47:58 AM,6,10587,314.914517804855,0.6611882497402475,1764,16592793,10076,0,7,0,1528,476,494491,0,1,0,3,BENIGN
05/07/2017 08:47:58 AM,6,10396,604.6556367833782,1.250480954213159,866,3797019,5051,0,13,0,2966,483,851327,1,2,0,6,BENIGN
05/07/2017 08:47:59 AM,6,10106,648.5256283396002,0.8905600633287156,1263,12522815,10022,0,9,0,1460,728,485843,0,1,0,3,BENIGN
05/07/2017 08:48:01 AM,6,10454,111884.25483068681,66.76870097570308,14,121795,9214,0,698,0,4290,1675,559377,0,2,0,86,BENIGN
05/07/2017 08:47:58 AM,17,8188,1044.2110405471421,9.03761602344895,112,167518,2575,0,74,49,220,115,2556,0,0,0,0,BENIGN
05/07/2017 08:48:06 AM,6,10105,6957.74369124196,5.047006432459178,202,1003011,5747,0,51,0,2920,1378,747117,1,2,0,6,BENIGN
05/07/2017 08:48:06 AM,6,10278,327.3983265226698,0.6810663553220471,1713,16758306,10070,0,7,0,1615,480,530373,0,1,0,3,BENIGN
05/07/2017 08:48:04 AM,6,12655,795.9699723429475,0.8692216515211378,1265,10065635,10076,0,11,0,2920,915,807375,0,1,0,5,BENIGN
05/07/2017 08:48:14 AM,6,12168,0.0,0.32873109796186717,4056,10881363,7865,2150,4,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:18 AM,6,10009,0.0,0.1998201618543311,10009,1,10009,10009,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:18 AM,6,10078,0.0,0.19845207382417146,10078,1,10078,10078,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:19 AM,6,10076,0.0,0.19849146486701072,10076,1,10076,10076,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:19 AM,6,10036,0.0,0.1992825827022718,10036,1,10036,10036,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:21 AM,6,10032,0.0,0.19936204146730463,10032,1,10032,10032,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:26 AM,6,10031,0.0,0.19938191606021333,10031,1,10031,10031,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:26 AM,6,10078,0.0,0.19845207382417146,10078,1,10078,10078,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:26 AM,6,10078,0.0,0.19845207382417146,10078,1,10078,10078,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:34 AM,6,12167,0.0,0.3287581162159941,4055,10882314,7865,2150,4,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:22 AM,17,6347,103.6710256814243,1.2604380022057664,906,5751138,6345,0,8,48,112,82,734,0,0,0,0,BENIGN
05/07/2017 08:48:38 AM,6,10015,0.0,0.19970044932601097,10015,1,10015,10015,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:39 AM,6,10080,0.0,0.1984126984126984,10080,1,10080,10080,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 08:48:39 AM,6,10096,0.0,0.19809825673534073,10096,1,10096,10096,2,0,0,0,0,0,0,0,0,BENIGN
