Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,30016,0.0,0.13326226012793177,10005,300320085,30016,0,4,0,0,0,0,0,0,0,0,BENIGN
6,17011,522301.39321615425,246.01728293457174,4,21481,4088,0,4185,6,4552,2123,701465,0,0,0,77,BENIGN
6,46794,14.830961234346283,0.08548104457836475,15598,723031357,46647,41,4,6,341,173,37333,0,0,0,2,BENIGN
6,41,6024.390243902439,73.17073170731707,20,840,41,0,3,0,241,82,18890,0,1,0,1,BENIGN
6,460,9436.95652173913,13.043478260869565,92,3403,156,0,6,0,1460,723,411180,0,1,0,3,BENIGN
6,60000,0.2,0.13333333333333333,8571,214104158,30000,0,8,0,6,1,6,0,0,0,0,BENIGN
6,260,27100.0,30.76923076923077,37,1351,90,0,8,0,1460,880,371446,0,1,0,4,BENIGN
6,30002,0.0,0.13332444503699753,10000,300040001,30002,0,4,0,0,0,0,0,0,0,0,BENIGN
6,30001,0.3999866671110963,0.19999333355554816,6000,180000000,30000,0,6,0,6,2,10,0,0,0,0,BENIGN
6,30001,0.0,0.1333288890370321,10000,300015000,30001,0,4,0,0,0,0,0,0,0,0,BENIGN
6,30006,0.39992001599680066,0.19996000799840033,6001,179991753,30001,0,6,0,6,2,10,0,0,0,0,BENIGN
6,304,15881.578947368422,19.736842105263158,60,5064,164,0,6,0,1645,804,730889,0,1,0,3,BENIGN
6,42,108547.61904761905,119.04761904761905,10,413,41,0,5,0,1633,911,693680,0,1,0,1,BENIGN
6,135,57296.2962962963,74.07407407407408,15,709,80,0,10,0,2425,773,772558,0,1,0,3,BENIGN
6,23491,224.0006811119152,0.468264441701077,2349,12847517,9075,31,11,0,3767,478,1215457,0,1,0,6,BENIGN
6,218,26311.92660550459,32.11009174311926,36,918,75,0,7,0,2642,819,1010066,0,1,0,3,BENIGN
