Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
17,4205,47.08680142687277,0.4756242568370987,4205,1,4205,4205,2,96,102,99,18,0,0,0,0,BENIGN
6,458,0.0,4.366812227074236,458,1,458,458,2,0,0,0,0,0,0,0,0,BENIGN
17,9450,26.984126984126984,0.31746031746031744,4725,44632352,9449,1,3,53,104,85,783,0,0,0,0,BENIGN
6,314,25363.057324840764,73.2484076433121,14,1013,147,0,23,0,1460,346,308408,0,1,0,8,BENIGN
6,140,23714.285714285714,92.85714285714286,11,239,43,0,13,0,1391,255,181418,0,1,0,7,BENIGN
6,2620,0.0,0.7633587786259542,2620,1,2620,2620,2,0,0,0,0,0,0,0,0,BENIGN
6,154,41584.41558441558,103.8961038961039,10,176,42,0,16,0,2920,400,625812,0,1,0,7,BENIGN
6,425,0.0,4.705882352941177,425,1,425,425,2,0,0,0,0,0,1,1,0,BENIGN
6,2622,0.0,0.7627765064836003,2622,1,2622,2622,2,0,0,0,0,0,0,0,0,BENIGN
6,4841,0.0,0.4131377814501136,4841,1,4841,4841,2,0,0,0,0,0,1,1,0,BENIGN
6,208,31706.73076923077,110.57692307692308,9,197,42,0,23,0,2920,286,466809,0,1,0,10,BENIGN
17,8069,54.901474780022305,0.6196554715578139,2017,12619978,7320,1,5,50,125,88,718,0,0,0,0,BENIGN
6,150,0.0,13.333333333333334,150,1,150,150,2,0,0,0,0,0,1,1,0,BENIGN
6,65,2676.923076923077,138.46153846153845,8,131,28,0,9,0,65,19,618,0,0,0,4,BENIGN
6,10423,36.17000863475007,0.5756500047970834,2084,18186809,9695,0,6,0,372,62,22934,2,1,0,2,BENIGN
6,37,9081.081081081082,108.10810810810811,12,385,35,1,4,0,331,84,27230,0,1,0,2,BENIGN
6,14627,8176.181035072127,13.263143501743352,75,323422,6986,0,194,0,1460,616,429892,0,2,0,74,BENIGN
