Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,3150,492.6984126984127,2.5396825396825395,450,1415795,3148,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,152,16368.421052631578,355.2631578947368,2,116,48,0,54,0,194,46,4196,2,2,0,22,BENIGN
6,13860,1495.6709956709956,3.8239538239538238,266,3496682,13498,0,53,0,2920,391,664255,4,6,0,18,BENIGN
6,6703,231.53811726092795,1.1934954497985977,957,6414266,6701,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,227,91145.3744493392,264.3171806167401,3,405,119,0,60,0,1448,344,350021,4,4,0,16,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,11510,800.868809730669,2.4326672458731537,426,2389322,6375,0,28,72,1173,329,72508,0,0,0,28,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,14247,1632.4840317259775,5.474836807749,185,1198977,7324,0,78,0,2920,298,528855,4,6,0,40,BENIGN
6,1377,1127.0878721859115,5.809731299927378,196,269998,1375,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1250,1241.6,6.4,178,222518,1248,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,14003,110.83339284439049,0.5713061486824252,2000,28003166,14001,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,75,33173.333333333336,693.3333333333334,1,66,48,0,52,0,194,47,4261,2,2,0,22,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,14915,104.05631914180356,0.5363727790814616,2130,31770690,14913,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,76,32736.842105263157,684.2105263157895,1,66,48,0,52,0,194,47,4261,2,2,0,22,BENIGN
6,228,90745.61403508772,179.82456140350877,5,532,118,0,41,0,2920,504,804432,4,4,0,16,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,7926,195.81125410042895,1.0093363613424173,1132,8972162,7925,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,12167,2127.8869072080215,9.862743486479822,102,333513,5600,0,120,0,2920,215,360927,8,8,0,64,BENIGN
6,7990,97.12140175219024,1.0012515644555695,1141,9117877,7989,0,8,0,316,97,19270,0,0,4,4,BENIGN
6,23,475478.26086956525,1478.2608695652175,0,8,17,0,34,0,1621,321,342726,0,6,4,16,BENIGN
17,20,382500.0,2500.0,0,0,7,0,50,48,1442,153,72977,0,0,0,0,BENIGN
6,7157,108.42531787061618,1.1177867821713008,1022,7316249,7156,0,8,0,316,97,19270,0,0,4,4,BENIGN
6,1262,2085.578446909667,33.28050713153724,30,24548,997,0,42,0,408,62,10374,4,2,0,24,BENIGN
6,9038,1295.8619163531755,4.093826067714096,251,2257044,9015,0,37,0,3069,316,445607,0,6,4,20,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,2970,1737.3737373737374,25.589225589225588,39,26537,1006,0,76,0,408,67,11151,4,2,0,46,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,3611,1440.0443090556632,22.15452783162559,45,28140,1019,0,80,0,408,65,10421,4,4,0,48,BENIGN
