Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,14053,56640.71728456557,862.4492990820465,1,1140,2420,0,12120,0,755,65,38768,0,1935,0,1897,Attack
6,14975,57293.088480801336,1061.5025041736228,0,1082,3204,0,15896,0,795,53,23332,0,2033,0,2051,Attack
6,14989,94929.34818867169,1935.0190139435585,0,251,768,0,29004,0,763,49,19193,0,3418,2824,3416,Attack
6,14265,89789.76515948125,1841.850683491062,0,168,1350,0,26274,0,737,48,18802,0,3077,1287,3086,Attack
6,14999,127818.38789252617,2634.5756383758917,0,90,748,0,39516,0,750,48,21266,0,4577,3682,4578,Attack
6,15000,151866.4,3418.3333333333335,0,47,672,0,51275,0,823,44,19236,229,5448,8436,5469,Attack
6,4231,93982.98274639565,2736.9416213661075,0,38,480,0,11580,0,755,34,14006,232,941,3620,942,Attack
6,15,47733.333333333336,4533.333333333333,0,8,10,0,68,0,360,10,4185,0,0,66,2,Attack
6,13746,75398.73417721518,1243.3435181143604,0,494,1585,0,17091,0,715,60,28743,0,2497,0,2477,Attack
6,14913,58618.654864882985,1043.854355260511,0,225,889,0,15567,0,766,56,24081,0,2083,0,2070,Attack
6,14999,104004.66697779852,2189.012600840056,0,178,1317,0,32833,0,761,47,21031,0,3690,3789,3712,Attack
6,14976,66473.09027777778,1227.9647435897436,0,190,704,0,18390,0,764,54,21625,0,2341,294,2367,Attack
6,14988,75552.84227381906,1418.6015479049906,0,98,608,0,21262,0,761,53,22264,0,2691,0,2698,Attack
6,14867,155896.88572005113,3298.0426447837494,0,26,453,0,49032,0,781,47,20684,50,5552,5583,5554,Attack
6,15000,175373.2,3971.0666666666666,0,15,407,0,59566,0,785,44,19233,352,6273,9881,6282,Attack
