Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
17,15000,15720,873.3333333,1,0,18,0,13100,18,18,18,0,0,0,0,0,Attack
17,15000,15732,874,1,0,15,0,13110,18,18,18,0,0,0,0,0,Attack
17,15000,15733.2,874.0666667,1,0,15,0,13111,18,18,18,0,0,0,0,0,Attack
17,15000,15756,875.3333333,1,0,25,0,13130,18,18,18,0,0,0,0,0,Attack
17,14999,15863.85759,881.3254217,1,0,15,0,13219,18,18,18,0,0,0,0,0,Attack
17,15000,34590,1921.666667,0,386,3340,0,28825,18,18,18,0,0,0,0,0,Attack
17,15000,136489.2,7582.733333,0,0,22,0,113741,18,18,18,0,0,0,0,0,Attack
17,15000,138127.2,7673.733333,0,0,35,0,115106,18,18,18,0,0,0,0,0,Attack
17,15000,138182.4,7676.8,0,0,43,0,115152,18,18,18,0,0,0,0,0,Attack
17,15000,138324,7684.666667,0,0,52,0,115270,18,18,18,0,0,0,0,0,Attack
17,15000,138441.6,7691.2,0,0,15,0,115368,18,18,18,0,0,0,0,0,Attack
17,15000,138472.8,7692.933333,0,0,27,0,115394,18,18,18,0,0,0,0,0,Attack
17,15000,138510,7695,0,0,13,0,115425,18,18,18,0,0,0,0,0,Attack
17,15000,138528,7696,0,0,15,0,115440,18,18,18,0,0,0,0,0,Attack
17,14995,465349.5165,25852.75092,0,28,3328,0,387662,18,18,18,0,0,0,0,0,Attack
17,15000,601158,33397.66667,0,0,28,0,500965,18,18,18,0,0,0,0,0,Attack
17,14995,629666.2888,34981.46049,0,0,27,0,524547,18,18,18,0,0,0,0,0,Attack
17,15000,652554,36253,0,0,28,0,543795,18,18,18,0,0,0,0,0,Attack
17,15000,669285.6,37182.53333,0,0,20,0,557738,18,18,18,0,0,0,0,0,Attack
17,15000,684117.6,38006.53333,0,0,29,0,570098,18,18,18,0,0,0,0,0,Attack
