Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
17,14999,630409.2272818187,35022.73484898993,0,0,21,0,525306,18,18,18,0,0,0,0,0,Attack
17,15000,567954.0,31553.0,0,0,30,0,473295,18,18,18,0,0,0,0,0,Attack
17,15000,421244.4,23402.466666666667,0,0,139,0,351037,18,18,18,0,0,0,0,0,Attack
17,15000,464577.6,25809.866666666665,0,0,32,0,387148,18,18,18,0,0,0,0,0,Attack
17,14981,419810.56004272075,23322.808891262266,0,0,29,0,349399,18,18,18,0,0,0,0,0,Attack
17,15000,423442.8,23524.6,0,0,48,0,352869,18,18,18,0,0,0,0,0,Attack
17,14999,438083.2055470365,24337.955863724248,0,0,33,0,365045,18,18,18,0,0,0,0,0,Attack
17,14999,421548.5032335489,23419.361290752717,0,0,33,0,351267,18,18,18,0,0,0,0,0,Attack
17,15000,414087.6,23004.866666666665,0,0,32,0,345073,18,18,18,0,0,0,0,0,Attack
17,14998,435263.2350980131,24181.290838778503,0,0,33,0,362671,18,18,18,0,0,0,0,0,Attack
17,14993,426557.8603348229,23697.65890749016,0,0,32,0,355299,18,18,18,0,0,0,0,0,Attack
17,14999,423546.6364424295,23530.368691246083,0,0,31,0,352932,18,18,18,0,0,0,0,0,Attack
17,14999,421946.9297953197,23441.496099739983,0,0,30,0,351599,18,18,18,0,0,0,0,0,Attack
17,15000,424641.6,23591.2,0,0,31,0,353868,18,18,18,0,0,0,0,0,Attack
17,14994,428858.3433373349,23825.46351874083,0,0,39,0,357239,18,18,18,0,0,0,0,0,Attack
17,15000,478393.2,26577.4,0,0,28,0,398661,18,18,18,0,0,0,0,0,Attack
17,14999,499574.10494032933,27754.11694112941,0,0,32,0,416284,18,18,18,0,0,0,0,0,Attack
17,14998,489701.2935058008,27205.627416988933,0,0,36,0,408030,18,18,18,0,0,0,0,0,Attack
