Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,14359,2643.638136360471,10.167838986001811,99,375267,4974,0,146,0,3069,260,275294,0,18,14,86,BENIGN
17,11993,20.011673476194446,0.4169098640873843,2998,4029662,6009,1984,5,48,48,48,0,0,0,0,0,BENIGN
6,5025,560.3980099502487,2.388059701492537,456,1612994,4218,0,12,72,316,234,14524,0,0,0,12,BENIGN
17,11968,32.0855614973262,0.6684491978609626,1709,242720,2000,973,8,48,48,48,0,0,0,0,0,BENIGN
17,12000,32.0,0.6666666666666666,1714,227214,2000,1010,8,48,48,48,0,0,0,0,0,BENIGN
17,10984,30.58994901675164,0.6372906045156591,1830,170336,2006,989,7,48,48,48,0,0,0,0,0,BENIGN
17,11978,28.05142761729838,0.5844047420270496,1996,72,2006,1983,7,48,48,48,0,0,0,0,0,BENIGN
17,10079,2558.7855938089097,19.049508879849192,52,43174,1531,0,192,31,1460,134,57880,0,0,0,0,BENIGN
17,12965,25.915927497107596,0.5399151561897416,2160,159657,2976,1988,7,48,48,48,0,0,0,0,0,BENIGN
17,11964,28.084252758274825,0.5850885991307255,1994,167,2001,1969,7,48,48,48,0,0,0,0,0,BENIGN
17,12965,25.915927497107596,0.5399151561897416,2160,157363,2970,1995,7,48,48,48,0,0,0,0,0,BENIGN
17,9966,28.898254063816978,0.6020469596628537,1993,130,2001,1975,6,48,48,48,0,0,0,0,0,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,3341,610.595630050883,2.3944926668662077,477,1593710,3340,0,8,72,316,255,12755,0,0,0,8,BENIGN
17,2690,1086.2453531598512,10.408921933085502,99,254695,2621,0,28,51,205,104,1623,0,0,0,0,BENIGN
17,14982,9.61153384060873,0.2002402883460152,7491,12550050,9996,4986,3,48,48,48,0,0,0,0,0,BENIGN
6,8390,3513.5876042908226,3.575685339690107,289,1342104,6001,0,30,0,2864,982,894989,1,1,0,13,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1907,10920.818038804406,25.17042475091767,40,10810,480,0,48,0,2920,433,806138,4,6,0,18,BENIGN
