Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,13733,0.0,146.65404500109227,6,90668,13506,0,2014,0,0,0,0,0,2002,6,0,Attack
6,94,0.0,10712.765957446809,0,7,9,0,1007,0,0,0,0,0,1001,3,0,Attack
6,96,0.0,10489.583333333334,0,3,15,0,1007,0,0,0,0,0,1001,3,0,Attack
6,95,0.0,10600.0,0,23,21,0,1007,0,0,0,0,0,1001,3,0,Attack
6,11264,0.0,178.7997159090909,5,61056,11083,0,2014,0,0,0,0,0,2002,6,0,Attack
6,8746,0.0,575.6917447976218,1,3605,2672,0,5035,0,0,0,0,0,5005,15,0,Attack
6,13399,0.0,225.46458690947085,4,28905,7786,0,3021,0,0,0,0,0,3003,9,0,Attack
6,2405,0.0,837.4220374220374,1,2336,2165,0,2014,0,0,0,0,0,2002,6,0,Attack
6,12102,0.0,499.2563212692117,2,8458,6714,0,6042,0,0,0,0,0,6006,18,0,Attack
6,5428,0.0,742.0781134856301,1,1907,1788,0,4028,0,0,0,0,0,4004,12,0,Attack
