Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,14999,75940.99606640443,2589.105940396026,0,2,28,0,38834,0,348,29,15533,5,1977,0,17607,Attack
6,14998,135473.79650620083,6510.801440192025,0,0,34,0,97649,0,348,20,2606,5,1974,0,48426,Attack
6,15000,164107.6,9641.4,0,3,437,0,144621,0,348,17,1898,5,1065,0,73069,Attack
6,15000,145974.8,10020.733333333334,0,13,427,0,150311,0,348,14,499,5,5,0,75291,Attack
6,15000,147621.26666666666,10076.133333333333,0,17,480,0,151142,0,348,14,497,5,5,0,76123,Attack
6,15000,151352.0,10209.133333333333,0,11,430,0,153137,0,348,14,523,5,5,0,78118,Attack
6,15000,146428.46666666667,10034.533333333333,0,8,411,0,150518,0,348,14,417,5,5,0,75268,Attack
6,15000,149497.33333333334,10142.0,0,10,442,0,152130,0,348,14,411,5,5,0,77113,Attack
6,14999,149622.1748116541,10135.27568504567,0,9,429,0,152019,0,348,14,388,5,5,0,76998,Attack
6,13441,140896.13868015772,10060.114574808422,0,11,399,0,135218,0,348,14,514,5026,4,38,65173,Attack
6,12021,3586.3072955660928,101.90499958406123,9,26192,3004,0,1225,0,304,35,13067,5,105,0,505,Attack
6,12015,1343.986683312526,85.31002913025385,11,34772,2986,0,1025,0,304,15,772,5,5,0,505,Attack
6,15000,1224.7333333333333,73.6,13,40211,2987,0,1104,0,304,16,762,5,6,0,583,Attack
6,15000,1151.5333333333333,69.93333333333334,14,42634,2987,0,1049,0,304,16,1067,5,5,0,528,Attack
6,15000,1064.0,73.6,13,40863,2985,0,1104,0,304,14,809,5,5,0,505,Attack
6,14994,1069.1609977324263,69.76123782846471,14,46177,2983,0,1046,0,304,15,729,5,5,0,505,Attack
6,14999,1081.6721114740983,68.4712314154277,14,47487,2988,0,1027,0,304,15,771,6,5,0,505,Attack
6,12017,1344.2622950819673,85.2958309062162,11,34782,2985,0,1025,0,304,15,836,5,5,0,505,Attack
6,15000,1120.7333333333333,70.06666666666666,14,42157,2987,0,1051,0,304,15,908,5,6,0,530,Attack
6,15000,1153.3333333333333,71.26666666666667,14,41595,2990,0,1069,0,304,16,892,5,5,0,549,Attack
6,15000,1142.1333333333334,70.53333333333333,14,42230,2986,0,1058,0,304,16,1069,5,5,0,537,Attack
6,4113,790.4206175540968,98.95453440311208,10,25264,2985,0,407,0,304,7,462,102,1,0,101,Attack
6,12222,25945.589919816724,633.6933398789068,1,1015,1865,0,7745,0,260,40,10440,5,1005,0,3006,Attack
6,15000,6029.066666666667,404.46666666666664,2,5399,2985,0,6067,0,260,14,440,5,6,0,3046,Attack
6,15000,5908.4,401.2,2,5685,2980,0,6018,0,260,14,551,5,5,0,2998,Attack
6,15000,5945.733333333334,403.8,2,5711,2988,0,6057,0,260,14,510,5,5,0,3037,Attack
6,15000,6198.2,408.6,2,5223,2873,0,6129,0,260,15,530,5,5,0,3109,Attack
6,15000,6150.866666666667,408.0,2,5387,2989,0,6120,0,260,15,456,5,5,0,3100,Attack
6,14999,5686.645776385092,394.4262950863391,2,5554,2986,0,5916,0,260,14,547,5,5,0,2896,Attack
6,15000,5974.666666666667,405.06666666666666,2,5653,2987,0,6076,0,260,14,471,5,5,0,3056,Attack
6,15000,5937.066666666667,401.6666666666667,2,5502,2881,0,6025,0,260,14,625,5,5,0,3005,Attack
6,14999,6006.800453363558,404.7603173544903,2,5623,2982,0,6071,0,260,14,490,5,5,0,3051,Attack
