Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,1,1264000.0,4000.0,0,0,1,0,4,316,316,316,0,0,0,0,4,BENIGN
6,1,1264000.0,4000.0,0,0,1,0,4,316,316,316,0,0,0,0,4,BENIGN
6,1,1264000.0,4000.0,0,0,1,0,4,316,316,316,0,0,0,0,4,BENIGN
6,1,1264000.0,4000.0,0,0,1,0,4,316,316,316,0,0,0,0,4,BENIGN
6,1,1264000.0,4000.0,0,0,1,0,4,316,316,316,0,0,0,0,4,BENIGN
6,1,1264000.0,4000.0,0,0,1,0,4,316,316,316,0,0,0,0,4,BENIGN
6,8327,735.438933589528,1.921460309835475,555,3052512,6738,0,16,243,923,382,45234,0,0,0,16,BENIGN
6,1227,10213.528932355339,34.229828850855746,29,20131,893,0,42,0,1592,298,173091,0,4,4,28,BENIGN
17,103,75669.90291262136,504.8543689320388,2,202,89,0,52,48,1418,149,68731,0,0,0,0,BENIGN
6,2000,3390.0,9.0,117,211063,1897,0,18,0,1592,376,278615,0,2,2,10,BENIGN
6,1594,3171.8946047678796,10.037641154328734,106,89801,1079,0,16,316,316,316,0,0,0,0,16,BENIGN
17,10,709600.0,4400.0,0,0,2,0,44,48,1418,161,80431,0,0,0,0,BENIGN
6,12417,1288.3949424176533,3.7045985342675363,275,1521418,7123,0,46,0,1592,347,142817,0,2,2,38,BENIGN
6,10456,241.7750573833206,0.7651109410864575,1493,15600965,10451,0,8,316,316,316,0,0,0,0,8,BENIGN
17,15,473066.6666666667,2933.3333333333335,0,2,4,0,44,48,1418,161,80431,0,0,0,0,BENIGN
6,13663,92.51262533850546,0.8782844177706214,1242,16968642,13662,0,12,0,316,105,24373,0,0,6,4,BENIGN
6,45,463866.6666666667,1200.0,0,9,17,0,54,0,3069,386,585750,0,10,6,26,BENIGN
6,1094,1418.6471663619743,7.312614259597806,156,170379,1092,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,14126,1646.4675067251876,5.734107319835764,176,1096845,7231,0,81,0,2920,287,458559,4,6,0,40,BENIGN
6,13715,113.1607728764127,0.5833029529711994,1959,26863407,13713,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
17,45,366088.8888888889,2666.6666666666665,0,0,8,0,120,48,1442,137,62042,0,0,0,0,BENIGN
6,580,2675.862068965517,13.793103448275861,82,47705,578,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,13116,118.32875876791705,0.609942055504727,1873,24567330,13114,0,8,72,316,194,17013,0,0,0,8,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,399,6235.588972431077,130.32581453634086,7,676,150,0,52,0,194,47,4261,2,2,0,22,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,175,118228.57142857143,342.85714285714283,2,281,115,0,60,0,1448,344,350021,4,4,0,16,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1278,2059.467918622848,32.863849765258216,31,24439,997,0,42,0,408,62,10374,4,2,0,24,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,209,98995.21531100478,196.17224880382776,5,431,99,0,41,0,2920,504,804432,4,4,0,16,BENIGN
17,2,368000.0,16000.0,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,11144,139.26776740847092,0.7178750897343862,1592,17733642,11142,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,94,26468.08510638298,553.1914893617021,1,120,65,0,52,0,194,47,4261,2,2,0,22,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,10605,2441.3012729844413,11.504007543611504,87,170026,3768,0,122,0,2920,212,355462,8,8,0,64,BENIGN
6,4155,373.52587244283995,1.9253910950661852,593,2463872,4153,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,4701,5485.2159115081895,25.313763029142734,39,22423,1013,0,119,0,2920,216,327543,8,8,0,62,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,151,137019.86754966888,271.52317880794703,3,389,114,0,41,0,2920,504,804392,4,4,0,16,BENIGN
6,360,4311.111111111111,22.22222222222222,51,18308,358,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,149,138859.06040268455,281.87919463087246,3,398,118,0,42,0,2920,492,747546,4,4,0,16,BENIGN
6,10720,144.77611940298507,0.746268656716418,1531,16410414,10718,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,5137,5077.282460580105,27.25326065797158,36,29802,1079,0,140,0,2896,186,315368,8,8,0,64,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,76,32736.842105263157,684.2105263157895,1,66,48,0,52,0,194,47,4261,2,2,0,22,BENIGN
17,2,368000.0,16000.0,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
