Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
6,337,12445.103857566766,65.28189910979229,16,2776,237,0,22,0,1410,190,160350,0,2,0,14,BENIGN
6,11599,907.8368824898698,2.5864298646435038,399,2370841,7353,0,30,72,1139,351,96405,0,0,0,30,BENIGN
17,10249,51.517221192311446,1.7562689042833448,602,6177697,10248,0,18,27,48,29,46,0,0,0,0,BENIGN
6,1865,832.171581769437,4.289544235924933,266,495609,1863,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,33,47030.30303030303,242.42424242424244,4,134,31,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,3463,7462.315911059774,36.96217152757725,27,23617,1381,0,128,0,2896,201,340961,8,8,0,60,BENIGN
6,34,45647.05882352941,235.2941176470588,4,146,32,0,8,72,316,194,17013,0,0,0,8,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,7213,3589.3525578816025,16.35935117149591,61,153054,3988,0,118,0,2920,219,365913,8,8,0,64,BENIGN
6,115,78069.56521739131,191.30434782608697,5,237,51,0,22,126,1139,408,114234,0,0,0,22,BENIGN
6,354,11847.457627118643,73.44632768361582,14,1950,213,0,26,0,1410,161,139507,0,2,0,14,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,141,17645.390070921985,382.97872340425533,2,97,48,0,54,0,194,46,4196,2,2,0,22,BENIGN
17,1,432000.0,16000.0,0,0,1,0,16,27,27,27,0,0,0,0,0,BENIGN
6,1700,912.9411764705883,4.705882352941177,242,411335,1697,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,14998,1382.1842912388317,3.2004267235631416,319,4591377,14703,0,48,0,2920,431,807610,4,6,0,18,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,36,1611.111111111111,55.55555555555556,36,1,36,36,2,0,58,29,1682,0,0,0,1,BENIGN
6,79,31493.67088607595,658.2278481012659,1,69,50,0,52,0,194,47,4261,2,2,0,22,BENIGN
17,2,368000.0,16000.0,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,158,130949.3670886076,253.16455696202533,4,430,118,0,40,0,2920,517,927780,4,4,0,16,BENIGN
6,35,44342.857142857145,228.57142857142858,5,154,33,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,4435,5880.947012401353,30.665163472378804,32,20975,1001,0,136,0,2896,191,323365,8,8,0,64,BENIGN
6,2881,1804.9288441513363,26.379729260673376,38,28240,996,0,76,0,408,68,10942,4,4,0,48,BENIGN
6,31,50064.51612903226,258.06451612903226,4,119,29,0,8,72,316,194,17013,0,0,0,8,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,4433,175.050755695917,1.8046469659372886,633,2804411,4431,0,8,0,316,97,19270,0,0,4,4,BENIGN
6,77,32311.68831168831,675.3246753246754,1,66,48,0,52,0,194,47,4261,2,2,0,22,BENIGN
17,45,381600.0,2844.4444444444443,0,0,8,0,128,48,1442,134,58328,0,0,0,0,BENIGN
6,76,289157.8947368421,868.421052631579,1,21,30,0,66,0,3069,332,493107,0,12,8,32,BENIGN
6,36,1611.111111111111,55.55555555555556,36,1,36,36,2,0,58,29,1682,0,0,0,1,BENIGN
6,3516,1478.9533560864618,22.753128555176335,44,28266,1015,0,80,0,408,65,10421,4,4,0,48,BENIGN
6,31,50064.51612903226,258.06451612903226,4,119,29,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,31,50064.51612903226,258.06451612903226,4,127,30,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,3213,483.03765950824777,2.489884842826019,459,1472684,3211,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,5817,4483.754512635379,22.1763795771016,45,91032,3113,0,129,0,2896,202,324331,8,8,0,64,BENIGN
6,74,33621.62162162162,702.7027027027027,1,67,48,0,52,0,194,47,4261,2,2,0,22,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,2726,1977.9897285399854,33.749082905355834,29,22011,997,0,92,0,456,58,11246,4,4,0,48,BENIGN
6,4845,1065.015479876161,16.51186790505676,61,68159,1859,0,80,0,408,64,10664,4,2,0,46,BENIGN
6,3323,467.04784832982244,2.407463135720734,474,1575379,3321,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,158,130949.3670886076,259.49367088607596,3,412,116,0,41,0,2920,504,866726,4,4,0,16,BENIGN
6,79,19645.569620253165,101.26582278481013,11,848,77,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,7064,736.1268403171008,11.041902604756512,91,267201,4328,0,78,0,408,66,10546,4,4,0,48,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,37,1567.5675675675675,54.054054054054056,37,1,37,37,2,0,58,29,1682,0,0,0,1,BENIGN
6,4143,1301.4723630219648,23.654356746319092,42,29618,1013,0,98,0,456,55,10668,4,4,0,48,BENIGN
6,74,33621.62162162162,702.7027027027027,1,68,49,0,52,0,194,47,4261,2,2,0,22,BENIGN
6,1794,1882.943143812709,5.574136008918618,199,337663,1749,0,10,72,913,337,105392,0,0,0,10,BENIGN
6,14691,190.5928799945545,2.858893199918317,358,2576534,10029,0,42,0,456,66,11812,0,2,0,26,BENIGN
6,32,48500.0,250.0,4,127,30,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,2920,1780.8219178082193,28.767123287671232,35,24043,996,0,84,0,408,61,10193,4,4,0,48,BENIGN
6,6023,257.6788975593558,1.3282417399966795,860,5178561,6021,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,11160,2337.0967741935483,11.469534050179211,87,277294,5498,0,128,0,2896,203,359804,8,8,0,64,BENIGN
6,1251,1988.8089528377297,43.16546762589928,23,10287,529,0,54,0,194,46,4196,2,2,0,22,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,168,123154.76190476191,244.04761904761904,4,485,126,0,41,0,2920,504,867008,4,4,0,16,BENIGN
6,2870,540.7665505226481,2.7874564459930316,410,1175101,2868,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,3105,1674.718196457327,24.476650563607084,41,28167,997,0,76,0,408,68,10942,4,4,0,48,BENIGN
6,2,388000.0,2000.0,0,1,2,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,45,1288.888888888889,44.44444444444444,45,1,45,45,2,0,58,29,1682,0,0,0,1,BENIGN
6,5971,4368.112543962486,22.609278177859654,44,42023,1382,0,135,0,2896,193,356416,8,8,0,64,BENIGN
6,39,39794.8717948718,205.12820512820514,5,184,36,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,1336,1862.2754491017963,40.41916167664671,25,10951,580,0,54,0,194,46,4196,2,2,0,22,BENIGN
17,2,368000.0,16000.0,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,1064,19445.48872180451,37.59398496240601,27,15816,771,0,40,0,2920,517,927662,4,4,0,16,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,1,0.0,2000.0,1,1,1,1,2,0,0,0,0,0,0,0,0,BENIGN
17,3,245333.33333333334,10666.666666666666,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
6,57,27228.070175438595,140.35087719298247,8,428,55,0,8,72,316,194,17013,0,0,0,8,BENIGN
6,5023,1035.2379056340833,15.13040015926737,66,98679,2344,0,76,0,408,68,10942,4,4,0,48,BENIGN
6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
6,7273,213.3919978000825,1.9249278152069298,559,4031707,7243,0,14,0,316,110,19066,0,0,6,8,BENIGN
6,10060,2273.7574552683895,6.262425447316104,162,1508277,9679,0,63,0,2896,363,602098,4,6,0,32,BENIGN
6,7440,3505.6451612903224,18.010752688172044,55,42310,1346,0,134,0,2896,194,327492,8,8,0,64,BENIGN
17,5,277600.0,3200.0,0,0,1,0,16,48,121,86,693,0,0,0,0,BENIGN
6,911,2731.064763995609,59.275521405049396,17,5284,444,0,54,0,194,46,4196,2,2,0,22,BENIGN
6,311,53247.5884244373,115.7556270096463,8,957,129,0,36,0,2920,460,877952,2,4,2,14,BENIGN
6,6008,1130.1597869507323,4.161118508655126,250,1502499,6005,0,25,0,3069,271,517157,0,6,6,6,BENIGN
17,11054,278.270309390266,5.066039442735661,200,2051537,10625,0,56,23,110,54,1537,0,0,0,0,BENIGN
6,51,412470.5882352941,901.9607843137255,1,17,19,0,46,0,3069,457,659338,0,8,4,24,BENIGN
6,217,5635.944700460829,87.55760368663594,12,459,78,0,19,0,646,64,23667,0,1,0,7,BENIGN
