Time,Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
07/07/2017 08:59:50 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:00:06 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:00:38 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:00:54 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:01:10 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:01:26 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:01:43 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:01:58 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:02:14 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:02:31 AM,6,3150,492.6984127,2.53968254,450,1415795,3148,0,8,72,316,194,17013,0,0,0,8,BENIGN
07/07/2017 09:02:47 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:03:04 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:03:19 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:03:35 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:03:52 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
07/07/2017 09:01:24 AM,6,152,16368.42105,355.2631579,2,116,48,0,54,0,194,46,4196,2,2,0,22,BENIGN
07/07/2017 09:03:47 AM,6,13860,1505.194805,3.823953824,266,3496682,13498,0,53,0,2920,393,662157,4,6,0,18,BENIGN
07/07/2017 09:04:07 AM,6,6703,231.5381173,1.19349545,957,6414266,6701,0,8,72,316,194,17013,0,0,0,8,BENIGN
07/07/2017 09:04:09 AM,6,227,91145.37445,264.3171806,3,405,119,0,60,0,1448,344,350021,4,4,0,16,BENIGN
07/07/2017 09:01:24 AM,17,3,245333.3333,10666.66667,0,0,1,0,32,23,23,23,0,0,0,0,0,BENIGN
07/07/2017 09:04:24 AM,6,11510,800.8688097,2.432667246,426,2389322,6375,0,28,72,1173,329,72508,0,0,0,28,BENIGN
07/07/2017 09:04:39 AM,6,1,776000,4000,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
