Time,Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
03/07/2017 09:17:52 AM,6,9651,7564.811936586882,30.359548233343695,33,132278,5957,0,293,0,2634,249,242690,0,50,44,142,BENIGN
03/07/2017 09:17:52 AM,17,8839,514.9903835275484,5.204208620884716,196,191716,1581,0,46,48,163,98,1388,0,0,0,0,BENIGN
03/07/2017 09:18:09 AM,17,6973,64.2478129929729,1.147282374874516,996,1543239,2325,0,8,56,56,56,0,0,0,0,0,BENIGN
03/07/2017 09:18:09 AM,6,14196,2241.6173570019723,10.989010989010989,91,529419,8511,0,156,0,1472,203,180194,4,24,24,66,BENIGN
03/07/2017 09:18:44 AM,17,13902,68.33549129621638,0.719320961012804,1544,17270437,12568,0,10,48,154,95,1405,0,0,0,0,BENIGN
03/07/2017 09:19:34 AM,17,11048,139.39174511223752,1.0861694424330195,1004,4022629,6137,0,12,78,154,128,935,0,0,0,0,BENIGN
03/07/2017 09:19:57 AM,17,13962,925.512104283054,8.451511244807334,119,84207,1584,0,118,46,226,109,1935,0,0,0,0,BENIGN
03/07/2017 09:20:00 AM,6,12266,454.2638186857981,1.6305233980107614,645,2990405,6869,0,20,0,796,278,151856,2,5,0,7,BENIGN
03/07/2017 09:20:01 AM,6,6395,3835.965598123534,2.9710711493354185,355,1451550,5138,0,19,0,2920,1291,709407,0,1,0,4,BENIGN
03/07/2017 09:20:02 AM,6,6180,2244.660194174757,3.236245954692557,325,1364738,5129,0,20,0,1460,693,437313,1,2,0,8,BENIGN
03/07/2017 09:19:59 AM,6,10789,593.5675224765965,1.2049309481879693,899,3760809,5316,0,13,0,2988,492,860915,1,2,0,6,BENIGN
03/07/2017 09:19:59 AM,6,10878,297.66501195072624,0.6435006435006435,1813,16454036,10085,0,7,0,1506,462,492298,0,1,0,3,BENIGN
03/07/2017 09:20:06 AM,6,14979,209748.2475465652,110.75505707991188,9,24000,5231,0,1659,0,4380,1893,729544,5,6,0,250,BENIGN
03/07/2017 09:19:57 AM,6,14359,53.485618775680756,0.3482136639041716,3589,22451798,10009,1,5,0,384,153,44236,0,1,0,2,BENIGN
03/07/2017 09:20:05 AM,6,10076,1028.9797538705836,1.4886859865025803,719,3414781,5920,0,15,0,1992,691,568351,1,2,0,5,BENIGN
03/07/2017 09:20:05 AM,6,10106,6589.9465663962,4.848604789234118,210,2087160,10017,0,49,0,2920,1359,369368,0,1,0,4,BENIGN
03/07/2017 09:20:06 AM,6,10157,698.631485674904,2.1659938958353844,483,2284387,5647,0,22,0,1774,322,440540,2,6,0,5,BENIGN
03/07/2017 09:20:08 AM,6,13401,167.0024625027983,0.8208342660995448,1340,3515432,4958,0,11,0,746,203,121455,1,3,0,3,BENIGN
03/07/2017 09:20:17 AM,6,14993,53.09144267324751,0.4001867538184486,2998,7442888,5030,0,6,0,796,132,105762,0,0,0,1,BENIGN
03/07/2017 09:20:17 AM,6,12421,3234.602688994445,5.152564205780533,197,416789,3871,0,64,0,2920,627,636514,3,7,0,18,BENIGN
03/07/2017 09:20:18 AM,6,11678,4310.926528515157,7.535536907004624,134,419874,4374,0,88,0,3246,572,499695,2,11,0,39,BENIGN
03/07/2017 09:20:17 AM,6,10315,326.22394571013086,0.6786233640329618,1719,16811889,10089,0,7,0,1615,480,530373,0,1,0,3,BENIGN
