Time,Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
06/07/2017 09:01:09 AM,6,11110,6667.506750675067,27.632763276327633,36,133339,5851,0,307,0,2634,241,233587,0,50,48,148,BENIGN
06/07/2017 09:01:09 AM,17,9507,513.0956137582833,5.0489113284947935,202,256092,2181,0,48,48,163,101,1492,0,0,0,0,BENIGN
06/07/2017 09:01:26 AM,6,14289,27.71362586605081,1.539645881447267,680,5525414,10155,0,22,6,72,18,783,8,0,0,4,BENIGN
06/07/2017 09:01:27 AM,17,4649,72.27360722736073,1.2906001290600129,929,1620680,2325,0,6,56,56,56,0,0,0,0,0,BENIGN
06/07/2017 09:02:13 AM,6,1,1472000.0,12000.0,0,0,1,0,12,0,328,122,13666,0,4,0,8,BENIGN
06/07/2017 09:05:22 AM,17,14855,63.816896667788626,0.6731740154830024,1650,11039819,8550,0,10,48,132,94,1009,0,0,0,0,BENIGN
06/07/2017 09:05:09 AM,6,13577,2362.0829343743094,11.048096044781616,91,599049,9077,0,150,0,1472,213,185592,0,28,26,62,BENIGN
06/07/2017 09:05:38 AM,6,8149,880.5988464842312,1.595287765369984,679,2220439,4963,0,13,0,796,552,145318,0,2,0,9,BENIGN
06/07/2017 09:05:38 AM,6,10067,38.74043905830933,0.39733783649548027,3355,33346908,10024,6,4,0,384,97,36489,0,1,0,1,BENIGN
06/07/2017 09:05:37 AM,6,11076,302.2751895991333,0.6319971108703503,1846,16313907,10079,1,7,2,1528,478,492329,0,1,0,3,BENIGN
06/07/2017 09:05:38 AM,6,10304,611.8012422360248,1.358695652173913,792,3549798,5185,0,14,0,1506,450,463149,1,2,0,6,BENIGN
06/07/2017 09:05:39 AM,6,10089,657.4487065120428,0.8920606601248885,1261,12517709,10018,0,9,0,1460,737,497248,0,1,0,3,BENIGN
