Time,Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
04/07/2017 08:57:58 AM,17,14873,1255.1603576951522,9.547502185167753,105,419387,7255,0,142,27,1410,131,50041,0,0,0,0,BENIGN
04/07/2017 08:58:10 AM,17,14551,19.792454126864133,0.4123427943096694,2910,1805820,4982,1996,6,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:09 AM,6,6786,5876.805187150015,19.45181255526083,51,33182,1204,0,132,0,3069,302,276295,0,14,10,86,BENIGN
04/07/2017 08:58:13 AM,17,982,97.75967413441956,2.0366598778004072,982,1,982,982,2,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:10 AM,17,14993,22.410458213833124,0.46688454612152336,2498,1514344,5010,1983,7,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:10 AM,17,14989,25.618787110547736,0.5337247314697445,2141,144932,3004,1987,8,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:11 AM,17,13999,24.001714408172013,0.5000357168369169,2333,673933,4008,1991,7,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:13 AM,17,12978,25.889967637540455,0.5393743257820928,2163,162820,2986,1991,7,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:12 AM,17,11994,32.016008004002,0.6670001667500417,1713,238124,2016,999,8,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:13 AM,17,12977,25.8919627032442,0.5394158896509209,2162,161247,2982,1995,7,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:14 AM,17,1495,7127.759197324414,17.391304347826086,59,30090,765,0,26,48,1424,409,284623,0,0,0,0,BENIGN
04/07/2017 08:58:26 AM,17,2000,48.0,1.0,2000,1,2000,2000,2,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:12 AM,17,14000,24.0,0.5,2333,677494,4013,1987,7,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:14 AM,17,4992,19.23076923076923,0.40064102564102566,4992,1,4992,4992,2,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:14 AM,17,2987,48.20890525610981,1.004352192835621,1493,505012,1996,991,3,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:11 AM,17,10999,30.5482316574234,0.6364214928629875,1833,164915,2007,1004,7,48,48,48,0,0,0,0,0,BENIGN
04/07/2017 08:58:27 AM,6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
04/07/2017 09:02:28 AM,6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
04/07/2017 09:02:45 AM,6,1,776000.0,4000.0,0,0,1,0,4,72,316,194,19872,0,0,0,4,BENIGN
04/07/2017 09:04:30 AM,6,104,16596.153846153848,38.46153846153846,34,3605,104,0,4,241,622,431,48387,0,0,0,4,BENIGN
04/07/2017 09:04:30 AM,17,5,561200.0,5600.0,0,0,1,0,28,48,179,100,1123,0,0,0,0,BENIGN
04/07/2017 09:04:55 AM,6,39,44256.41025641026,102.56410256410257,13,500,39,0,4,241,622,431,48387,0,0,0,4,BENIGN
04/07/2017 09:05:20 AM,17,9,782222.2222222222,4888.888888888889,0,0,1,0,44,48,1398,160,78025,0,0,0,0,BENIGN
04/07/2017 09:05:20 AM,6,4044,5087.537091988131,15.33135509396637,66,155442,3011,0,62,0,1562,331,127904,0,2,2,54,BENIGN
04/07/2017 09:06:07 AM,6,56,30821.428571428572,71.42857142857143,18,1045,56,0,4,241,622,431,48387,0,0,0,4,BENIGN
04/07/2017 09:05:55 AM,17,14510,232.52929014472778,1.2405237767057202,853,12274850,14452,0,18,31,1294,187,163082,0,0,0,0,BENIGN
04/07/2017 09:06:27 AM,6,6827,1173.2825545627654,3.5154533470045406,296,1229273,5152,0,24,0,1562,333,178044,0,2,2,16,BENIGN
