Time,Protocol,Flow Duration,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Pkt Num,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,Label
05/07/2017 08:59:29 AM,17,7854,201.6806723,3.055767762,341,447871,2000,0,24,48,98,66,372,0,0,0,0,BENIGN
05/07/2017 08:59:54 AM,17,12739,26.68969307,0.313996389,4246,54091917,12739,0,4,66,104,85,489,0,0,0,0,BENIGN
05/07/2017 09:00:26 AM,17,34,28411.76471,235.2941176,4,60,18,0,8,89,163,120,945,0,0,0,0,BENIGN
05/07/2017 09:00:08 AM,6,2391,3304.05688,9.619406106,108,13817,389,0,23,0,2896,343,492367,2,2,0,6,BENIGN
05/07/2017 09:00:49 AM,17,32,7625,125,10,341,32,0,4,55,67,61,48,0,0,0,0,BENIGN
05/07/2017 09:01:11 AM,6,994,7947.686117,22.13279678,47,2244,169,0,22,0,3401,359,649279,2,2,0,6,BENIGN
05/07/2017 09:01:57 AM,17,3946,100.3547897,1.520527116,789,1639041,2944,0,6,66,66,66,0,0,0,0,0,BENIGN
05/07/2017 09:02:12 AM,6,1584,4987.373737,12.62626263,83,13472,389,0,20,0,3401,395,1077700,2,2,0,6,BENIGN
05/07/2017 09:02:30 AM,17,1001,263.7362637,3.996003996,333,333833,1001,0,4,66,66,66,0,0,0,0,0,BENIGN
05/07/2017 09:03:22 AM,17,3672,264.7058824,2.178649237,524,1150192,2876,0,8,98,143,121,572,0,0,0,0,BENIGN
05/07/2017 09:03:15 AM,6,2078,3801.732435,10.58710298,98,24666,687,0,22,0,3401,359,649074,2,2,0,6,BENIGN
05/07/2017 09:04:38 AM,17,1001,263.7362637,3.996003996,333,333833,1001,0,4,66,66,66,0,0,0,0,0,BENIGN
05/07/2017 09:04:20 AM,6,2113,3738.760057,11.3582584,91,22738,620,0,24,0,1448,329,293347,2,2,0,6,BENIGN
05/07/2017 09:05:13 AM,17,13196,23.49196726,0.303122158,4398,58031610,13195,0,4,66,89,77,181,0,0,0,0,BENIGN
05/07/2017 09:05:32 AM,6,10097,73.88333168,0.396157274,3365,33346698,10034,26,4,0,746,186,139046,0,1,0,1,BENIGN
05/07/2017 09:05:32 AM,6,10346,537.7923835,0.869901411,1293,12469974,10032,0,9,0,2836,618,957015,0,1,0,3,BENIGN
05/07/2017 09:05:32 AM,6,10291,12987.3676,9.814400933,102,1004932,10035,0,101,0,1418,1323,110396,0,1,0,19,BENIGN
05/07/2017 09:05:52 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:05:52 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:05:53 AM,6,10047,0,0.199064397,10047,1,10047,10047,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:05:32 AM,17,14139,91.23700403,1.131621755,942,6538142,9810,0,16,66,98,80,212,0,0,0,0,BENIGN
05/07/2017 09:05:22 AM,6,1761,4486.08745,13.6286201,76,22376,686,0,24,0,1448,329,293476,2,2,0,6,BENIGN
05/07/2017 09:06:12 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:06:12 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:06:13 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:06:32 AM,6,10047,0,0.199064397,10047,1,10047,10047,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:06:32 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:06:33 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:06:15 AM,17,1002,263.4730539,3.992015968,334,334668,1002,0,4,66,66,66,0,0,0,0,0,BENIGN
05/07/2017 09:06:52 AM,6,10047,0,0.199064397,10047,1,10047,10047,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:06:53 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:06:53 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:07:12 AM,6,14527,20791.42287,19.68747849,50,103770,4685,0,286,0,2896,1056,494749,2,17,0,75,BENIGN
05/07/2017 09:07:10 AM,17,8691,1050.97227,13.34714072,75,64255,2101,0,116,47,175,78,837,0,0,0,0,BENIGN
05/07/2017 09:07:12 AM,6,13998,16952.70753,17.78825547,56,79318,3384,0,249,0,4344,953,545870,8,18,0,68,BENIGN
05/07/2017 09:07:13 AM,6,14993,348.2958714,0.8670713,1249,6308733,8987,0,13,0,746,401,149800,0,3,0,7,BENIGN
05/07/2017 09:07:13 AM,6,10048,0,0.199044586,10048,1,10048,10048,2,0,0,0,0,0,0,0,0,BENIGN
05/07/2017 09:06:24 AM,6,1608,4912.935323,14.92537313,69,11156,404,0,24,0,1448,329,293283,2,2,0,6,BENIGN
05/07/2017 09:07:10 AM,6,11406,2434.332807,2.367175171,438,1915679,5275,0,27,0,2896,1028,715261,1,2,0,7,BENIGN
05/07/2017 09:07:14 AM,6,10433,906.1631362,1.054346784,1043,9972539,10027,0,11,0,1448,859,463112,0,1,0,3,BENIGN
05/07/2017 09:07:14 AM,6,10046,79.23551662,0.398168425,3348,33386820,10021,1,4,0,796,199,158359,0,1,0,1,BENIGN
05/07/2017 09:07:14 AM,6,10553,631.57396,0.947597839,1172,11018075,10020,0,10,0,1448,666,388820,0,1,0,5,BENIGN
05/07/2017 09:07:15 AM,6,10111,569.0831767,0.791217486,1444,14320349,10027,0,8,0,2043,719,658217,0,1,0,3,BENIGN
05/07/2017 09:07:14 AM,6,14326,4529.247522,8.097165992,124,437029,6516,0,116,0,1418,559,358535,0,12,0,49,BENIGN
05/07/2017 09:07:15 AM,6,10155,501.2309207,0.886262925,1269,12578179,10048,0,9,0,1418,565,391403,0,1,0,3,BENIGN
05/07/2017 09:07:15 AM,6,10141,494.4285573,0.887486441,1267,12555386,10037,0,9,0,1418,557,424841,0,1,0,3,BENIGN
05/07/2017 09:07:15 AM,6,11267,8997.692376,7.899174581,128,1124058,9957,0,89,0,2836,1139,323837,0,3,0,25,BENIGN
05/07/2017 09:07:16 AM,6,10827,86979.86515,62.25177796,16,139493,9693,0,674,0,2836,1397,186852,0,6,0,87,BENIGN
05/07/2017 09:07:15 AM,6,12324,714.2161636,3.570269393,286,2223262,9785,0,44,0,1418,200,117234,0,5,0,16,BENIGN
05/07/2017 09:07:17 AM,6,10227,1496.235455,1.760046935,601,5801791,9950,0,18,0,2836,850,649740,0,2,0,9,BENIGN
05/07/2017 09:07:17 AM,6,10730,10652.37651,10.62441752,94,866159,9908,0,114,0,2896,1002,539793,0,5,0,20,BENIGN
